İlan Numarası,İlan Oluşturma Tarihi,İlan Güncelleme Tarihi,Türü,Kategorisi,Tipi,Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Eşya Durumu,Tapu Durumu,Site İçerisinde,Takas,Banyo Sayısı,Fiyat Durumu,fiyat,konum,URL,Yapı Durumu,Yapı Tipi,Aidat,Depozito,Ada,Parsel,Balkon Durumu,Balkon Sayısı,WC Sayısı,Görüntülü Gezilebilir mi?,Balkon Tipi,Balkon Metrekare,Banyo Metrekare,Salon Metrekare,WC Metrekare
17775424,07 Ağustos 2025,07 Ağustos 2025,Konut,Kiralık,Daire,200 m²,220 m²,4+1,21 Ve Üzeri,1.Kat,4,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,21.000TL,Niğde - Niğde Merkez - Yukarı Kayabaşı Mahallesi,https://www.emlakjet.com/ilan/e-gokal-kiralik-ltb-ustu-carsi-merkez-ara-kat-41-genis-daire-17775424,,,,,3969,18,,,,,,,,,
17929989,21 Ağustos 2025,24 Ağustos 2025,Konut,Kiralık,Daire,100 m²,110 m²,2+1,11-15,Yüksek Giriş,7,Merkezi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,15.000TL,Niğde - Niğde Merkez - Selçuk Mahallesi,https://www.emlakjet.com/ilan/yagmurlar-dan-selcuk-mah-mandacilar-sitesi-21-kiralik-dairese-17929989,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,https://www.emlakjet.com/ilan/sahibinden-kiralik-daire-nigde-altunhisar-ilce-merkezinde-17627365,,,,,,,,,,,,,,,
17700798,23 Temmuz 2025,16 Ağustos 2025,Konut,Kiralık,Daire,135 m²,145 m²,3+1,21 Ve Üzeri,5.Kat,5,Kombi Doğalgaz,Boş,,Kat İrtifakı,Hayır,,1,Genel Fiyat,11.000TL,Niğde - Niğde Merkez - İnönü Mahallesi,https://www.emlakjet.com/ilan/kiralik-kombili-31-daire-nigde-carsi-merkezde-17700798,İkinci El,,,11000 TL,4189,38,Var,2,,Evet,,,,,
17935071,22 Ağustos 2025,24 Ağustos 2025,Konut,Kiralık,Daire,90 m²,100 m²,2+1,0 (Yeni),2.Kat,5,Merkezi Doğalgaz,Boş,,Tapu Kaydı Yok,Hayır,,2,Genel Fiyat,15.500TL,Niğde - Niğde Merkez - Efendibey Mahallesi,https://www.emlakjet.com/ilan/yurtici-gayrimenkul-efendibey-21-masrafsiz-17935071,,,,,,,,,,,,,,,
17865085,13 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,90 m²,100 m²,1+1,0 (Yeni),3.Kat,4,Merkezi (Pay Ölçer),Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,15.500TL,Niğde - Niğde Merkez - Kale Mahallesi,https://www.emlakjet.com/ilan/yunus-emlaktan-kiralik-11-esyali-daire-dairemiz-5-yilik-asansor-17865085,,,,,,,,,,,,,,,
17597407,05 Temmuz 2025,07 Temmuz 2025,Konut,Kiralık,Daire,50 m²,55 m²,1+1,5-10,7.Kat,10,Merkezi Doğalgaz,Boş,Boş,Müstakil Tapulu,Hayır,Yok,1,Genel Fiyat,17.500TL,Niğde - Niğde Merkez - Aşağı Kayabaşı Mahallesi,https://www.emlakjet.com/ilan/global-emlaktan-sabanci-kavsagi-yakini-esyali-kiralik-11-17597407,,,,,,,,,,,,,,,
17853023,13 Ağustos 2025,13 Ağustos 2025,Konut,Kiralık,Daire,75 m²,90 m²,2+1,5-10,5.Kat,5,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,23.000TL,Niğde - Niğde Merkez - Aşağı Kayabaşı Mahallesi,https://www.emlakjet.com/ilan/nigde-merkezde-esyali-kiralik-daire-17853023,,,500 TL,23000 TL,2004,11,,,,,,,,,
17857806,13 Ağustos 2025,14 Ağustos 2025,Konut,Kiralık,Daire,95 m²,105 m²,2+1,5-10,5.Kat,6,Merkezi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,20.500TL,Niğde - Niğde Merkez - Nar Mahallesi,https://www.emlakjet.com/ilan/gencaga-emlak-tan-esyali-kiralik-daire-17857806,,,,,,,,,,,,,,,
17938428,22 Ağustos 2025,24 Ağustos 2025,Konut,Kiralık,Daire,135 m²,160 m²,3+1,11-15,2.Kat,4,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,18.000TL,Niğde - Bor - Ahmet Kuddusi Mahallesi,https://www.emlakjet.com/ilan/bor-toki-de-esyali-kiralik-daire-17938428,,,,,,,,,,,,,,,
17920249,20 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,140 m²,150 m²,3+1,5-10,8.Kat,9,Merkezi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,2,Genel Fiyat,26.000TL,Niğde - Niğde Merkez - Aşağı Kayabaşı Mahallesi,https://www.emlakjet.com/ilan/e-gokal-kiralik-hastane-bolgesi-tepe-park-sitesi-31-ara-kat-17920249,,,,,2433,8,,,,,,,,,
14480387,02 Ocak 2024,12 Temmuz 2025,Konut,Kiralık,Daire,75 m²,80 m²,1+1,21 Ve Üzeri,4.Kat,4,Merkezi Doğalgaz,Boş,Eşyalı,Kat İrtifakı,Hayır,,1,Genel Fiyat,20.000TL,Niğde - Niğde Merkez - İnönü Mahallesi,https://www.emlakjet.com/ilan/11-full-esyali-kiralik-daire-14480387,İkinci El,Betonarme,750 TL,20000 TL,,,Var,1,2,,,8 m²,,,
15753379,23 Ağustos 2024,20 Ağustos 2025,Konut,Kiralık,Daire,120 m²,140 m²,3+1,5-10,5.Kat,5,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Eşyalı,Bilinmiyor,Hayır,,1,Genel Fiyat,4.200.000TL,Niğde - Niğde Merkez - Aşağı Kayabaşı Mahallesi,https://www.emlakjet.com/ilan/satilik-daire-15753379,İkinci El,Betonarme,320 TL,,,,,,1,Evet,,,6 m²,30 m²,4 m²
16556879,28 Aralık 2024,28 Haziran 2025,Konut,Kiralık,Daire,120 m²,150 m²,3+1,21 Ve Üzeri,4.Kat,4,Kombi Doğalgaz,Boş,,Tapu Kaydı Yok,Hayır,,1,Genel Fiyat,10.000TL,Niğde - Niğde Merkez - İnönü Mahallesi,https://www.emlakjet.com/ilan/goksu-emlak-tan-kiralik-daire-16556879,,,,,,,,,,,,,,,
17559366,28 Haziran 2025,18 Temmuz 2025,Konut,Kiralık,Daire,74 m²,84 m²,1+1,5-10,1.Kat,6,Kombi Doğalgaz,Kiracı Oturuyor,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,23.000TL,Niğde - Niğde Merkez - İlhanlı Mahallesi,https://www.emlakjet.com/ilan/ilhanli-mahallesi-sahibinden-kiralik-11-dairemiz-surekli-kiraliktir-17559366,,,300 TL,23000 TL,1851,11,Var,1,1,Hayır,Kapalı Balkon,,,,
16250800,11 Kasım 2024,30 Temmuz 2025,Konut,Kiralık,Daire,120 m²,130 m²,3+1,21 Ve Üzeri,Düz Giriş (Zemin),5,Kombi Doğalgaz,Boş,,Bilinmiyor,Evet,,1,Genel Fiyat,1.650.000TL,Niğde - Niğde Merkez - Kale Mahallesi,https://www.emlakjet.com/ilan/selcuk-mahallesi-satilik-daire-16250800,,,0 TL,,,,,,,,,,,,
15965465,26 Eylül 2024,27 Temmuz 2025,Konut,Kiralık,Daire,135 m²,150 m²,3+1,11-15,3.Kat,33,Kombi Doğalgaz,Boş,,Kat İrtifakı,Hayır,,1,Genel Fiyat,12.000TL,Niğde - Niğde Merkez - İnönü Mahallesi,https://www.emlakjet.com/ilan/inonu-mahallesi-nde-31-kiralik-daire-15965465,,,,,1081,5,,,2,,,,5 m²,,
15533174,19 Temmuz 2024,09 Ağustos 2025,Konut,Kiralık,Daire,80 m²,90 m²,2+1,5-10,2.Kat,8,Merkezi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Evet,,1,Genel Fiyat,20.000TL,Niğde - Niğde Merkez - Aşağı Kayabaşı Mahallesi,https://www.emlakjet.com/ilan/esyali-kiralik-21-daire-15533174,,,,21000 TL,,,Var,1,1,,,,,,
17924476,20 Ağustos 2025,23 Ağustos 2025,Konut,Kiralık,Daire,80 m²,85 m²,2+1,4,1.Kat,3,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,17.500TL,Ordu - Altınordu - Karşıyaka Mahallesi,https://www.emlakjet.com/ilan/karsiyaka-da-temiz-kullanisli-21-17924476,,,,,,,,,,,,,,,
17931656,21 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,90 m²,100 m²,2+1,16-20,3.Kat,5,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,16.500TL,Ordu - Altınordu - Yeni Mahallesi,https://www.emlakjet.com/ilan/yeni-mahalle-genis-ferah-temiz-kullanisli-17931656,İkinci El,,250 TL,16500 TL,1644,7,Var,1,1,Hayır,Açık Balkon,,,,
17936718,22 Ağustos 2025,24 Ağustos 2025,Konut,Kiralık,Daire,135 m²,155 m²,3+1,5-10,15.Kat,17,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Evet,Yok,2,Genel Fiyat,25.000TL,Ordu - Fatsa - Dolunay Mahallesi,https://www.emlakjet.com/ilan/efsane-emlak-tan-dolunay-mah-31-kiralik-daire-17936718,,,,,,,,,,,,,,,
17930884,21 Ağustos 2025,24 Ağustos 2025,Konut,Kiralık,Daire,70 m²,80 m²,1+1,0 (Yeni),Villa Tipi,1,Klimalı,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,17.000TL,Ordu - Altınordu - Alembey Mahallesi,https://www.emlakjet.com/ilan/mustakil-ev-tarzinda-doga-ile-ic-ice-11-esyali-daire-17930884,,,,,,,,,,,,,,,
17939516,23 Ağustos 2025,24 Ağustos 2025,Konut,Kiralık,Daire,48 m²,50 m²,1+1,2,3.Kat,4,Yerden Isıtma,Boş,Eşyalı,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,16.500TL,Ordu - Altınordu - Cumhuriyet Mahallesi,https://www.emlakjet.com/ilan/mabel-gayrimenkul-cumhuriyet-mah-basogretmen-okulu-yani-esyali-17939516,,,,,,,,,,,,,,,
17936402,22 Ağustos 2025,24 Ağustos 2025,Konut,Kiralık,Daire,60 m²,70 m²,1+1,5-10,3.Kat,3,Kombi Doğalgaz,Boş,Boş,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,15.000TL,Ordu - Altınordu - Cumhuriyet Mahallesi,https://www.emlakjet.com/ilan/ulas-gayrimenkulden-cumhuriyet-mah-balkonlu-kiralik-11-17936402,,,,,,,,,,,,,,,
17935524,22 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,135 m²,151 m²,3+1,5-10,2.Kat,3,Kombi Doğalgaz,Boş,Boş,Kat İrtifakı,Evet,,2,Genel Fiyat,32.500TL,Ordu - Altınordu - Durugöl Mahallesi,https://www.emlakjet.com/ilan/ordu-durugol-kapali-mutfak-ara-kat-31-kiralik-daire-17935524,İkinci El,Betonarme,0 TL,32500 TL,2399,11,Var,2,2,Hayır,Kapalı Balkon,,,,
17924465,20 Ağustos 2025,24 Ağustos 2025,Konut,Kiralık,Daire,110 m²,125 m²,3+1,5-10,8.Kat,10,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,21.000TL,Ordu - Altınordu - Nizamettin Mahallesi,https://www.emlakjet.com/ilan/selimiye-hanzade-konaklari-31-kullanisli-ic-plan-17924465,,,,,,,,,,,,,,,
17930344,21 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,85 m²,90 m²,2+1,4,Düz Giriş (Zemin),4,Kombi Doğalgaz,Boş,,Kat İrtifakı,Hayır,,1,Genel Fiyat,15.500TL,Ordu - Altınordu - Kumbaşı Mahallesi,https://www.emlakjet.com/ilan/kip-gayrimenkul-kumbasi-mah-90m2-21-kiralik-daire-17930344,,,,15500 TL,2648,8,Var,1,,,,,,,
17931966,22 Ağustos 2025,24 Ağustos 2025,Konut,Kiralık,Daire,220 m²,240 m²,4+1,5-10,6.Kat,6,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Evet,Yok,2,Genel Fiyat,30.000TL,Ordu - Fatsa - Dolunay Mahallesi,https://www.emlakjet.com/ilan/dolunay-mahallesinde-full-deniz-manzarali-kullanisli-guzel-duble-17931966,,,,,,,,,,,,,,,
17923014,20 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,130 m²,146 m²,3+1,4,6.Kat,10,Kombi Doğalgaz,Boş,Boş,Kat İrtifakı,Evet,Yok,2,Genel Fiyat,27.500TL,Ordu - Altınordu - Karşıyaka Mahallesi,https://www.emlakjet.com/ilan/divan-gayrimenkul-karsiyaka-mh-146m2-31-triovadi-evleri-kiralik-17923014,,,,,,,,,,,,,,,
17931741,21 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,130 m²,140 m²,4+1,5-10,2.Kat,3,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,22.000TL,Ordu - Altınordu - Durugöl Mahallesi,https://www.emlakjet.com/ilan/karamanoglu-emlak-tan-okullara-yakin-17931741,İkinci El,Betonarme,150 TL,22000 TL,1821,2,Var,2,2,Evet,,,,,
17938501,22 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,130 m²,145 m²,3+1,16-20,2.Kat,5,Kombi Doğalgaz,Boş,,Kat İrtifakı,Hayır,,1,Genel Fiyat,15.000TL,Ordu - Ünye - Bayramca Mahallesi,https://www.emlakjet.com/ilan/unye-bayramca-mahallesi-31-dogalgazli-genis-kiralik-daire-17938501,,,,15000 TL,465,9,Var,,,,,,,,
17918664,20 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,40 m²,50 m²,1+1,0 (Yeni),7.Kat,11,Yerden Isıtma,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,13.500TL,Ordu - Ünye - Gölevi Mahallesi,https://www.emlakjet.com/ilan/mabel-den-cakirkentte-genis-kiralik-daire-17918664,,,,,,,,,,,,,,,
17922289,20 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,80 m²,85 m²,2+1,5-10,2.Kat,7,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Evet,,1,Genel Fiyat,17.500TL,Ordu - Perşembe - Kacalı Mahallesi,https://www.emlakjet.com/ilan/kacali-toki-esyali-dogazli-kiralik-daire-17922289,,,,,338,1,Var,1,,,,,,,
17926468,21 Ağustos 2025,23 Ağustos 2025,Konut,Kiralık,Daire,55 m²,72 m²,1+1,0 (Yeni),3.Kat,4,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,12.000TL,Ordu - Fatsa - Dolunay Mahallesi,https://www.emlakjet.com/ilan/dolunay-da-iyi-konumda-sifir-ve-ferah-11-kiralik-daire-17926468,,,,,,,,,,,,,,,
17935702,22 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,155 m²,175 m²,3+1,11-15,8.Kat,11,Kombi Doğalgaz,Boş,Eşyalı,Kat İrtifakı,Evet,,2,Genel Fiyat,30.000TL,Ordu - Fatsa - Evkaf Mahallesi,https://www.emlakjet.com/ilan/fatsa-kacmaz-emlaktan-dolunay-da-esyali-kiralik-daire-17935702,İkinci El,,750 TL,30000 TL,1157,2,Var,2,2,,"Açık Balkon, Açık Teras",,,,
17930882,21 Ağustos 2025,24 Ağustos 2025,Konut,Kiralık,Daire,160 m²,170 m²,4+1,0 (Yeni),2.Kat,5,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,31.000TL,Ordu - Altınordu - Akyazı Mahallesi,https://www.emlakjet.com/ilan/akyazi-mah-medical-park-hast-yani-41-sifir-kiralik-daire-17930882,,,,,,,,,,,,,,,
17936725,22 Ağustos 2025,24 Ağustos 2025,Konut,Kiralık,Daire,135 m²,150 m²,3+1,5-10,16.Kat,16,Kombi Doğalgaz,Boş,Boş,Kat İrtifakı,Evet,Yok,2,Genel Fiyat,26.000TL,Ordu - Fatsa - Dolunay Mahallesi,https://www.emlakjet.com/ilan/prestij-konutlarinda-luks-kiralik-daire-17936725,,,,,,,,,,,,,,,
17938560,22 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,90 m²,100 m²,2+1,21 Ve Üzeri,2.Kat,4,Kombi Doğalgaz,Boş,,Kat İrtifakı,Hayır,,1,Genel Fiyat,6.000TL,Ordu - Ünye - Kaledere Mahallesi,https://www.emlakjet.com/ilan/unye-kaledere-mahallesi-21-sobali-kiralik-daire-17938560,,,,,587,5,Var,,,,,,,,
17938545,22 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,115 m²,125 m²,3+1,16-20,2.Kat,5,Kombi Doğalgaz,Boş,,Kat İrtifakı,Hayır,,1,Genel Fiyat,12.000TL,Ordu - Ünye - Bayramca Mahallesi,https://www.emlakjet.com/ilan/unye-bayramca-mahallesi-31-dogalgazli-kiralik-daire-17938545,,,,12000 TL,675,13,Var,,,Hayır,,,,,
17924479,20 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,48 m²,55 m²,1+1,3,3.Kat,4,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,12.000TL,Ordu - Gülyalı - Turnasuyu Mahallesi,https://www.emlakjet.com/ilan/cumhuriyet-11-site-dairesi-universite-yurume-17924479,,,,,,,,,,,,,,,
17919101,20 Ağustos 2025,23 Ağustos 2025,Konut,Kiralık,Daire,70 m²,75 m²,2+1,5-10,Çatı Katı,3,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,20.000TL,Ordu - Fatsa - Evkaf Mahallesi,https://www.emlakjet.com/ilan/sahile-universiteye-yakin-esyali-kiralik-daire-17919101,,,,,,,,,,,,,,,
17924466,20 Ağustos 2025,24 Ağustos 2025,Konut,Kiralık,Daire,105 m²,120 m²,3+1,11-15,Çatı Katı,4,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,15.000TL,Ordu - Altınordu - Şahincili Mahallesi,https://www.emlakjet.com/ilan/sahincili-mahallesi-nde-doga-kente-civarinda-120m-kiralik-cati-17924466,,,,,,,,,,,,,,,
17939512,23 Ağustos 2025,24 Ağustos 2025,Konut,Kiralık,Daire,45 m²,50 m²,1+1,0 (Yeni),1.Kat,5,Yerden Isıtma,Boş,Eşyalı,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,16.500TL,Ordu - Altınordu - Cumhuriyet Mahallesi,https://www.emlakjet.com/ilan/mabel-gayrimenkul-cumhuriyet-mah-sifir-esyali-balkonlu-11-17939512,,,,,,,,,,,,,,,
17936302,22 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,95 m²,120 m²,2+1,21 Ve Üzeri,4.Kat,5,Kombi Doğalgaz,Boş,,Kat İrtifakı,Hayır,,1,Genel Fiyat,12.000TL,Ordu - Fatsa - Mustafakemalpaşa Mahallesi,https://www.emlakjet.com/ilan/ordu-fatsa-kacmaz-emlak-mustafa-kemal-pasa-mah-kiralik-daire-17936302,,,0 TL,12000 TL,882,180,Var,,,,,,,,
17921240,20 Ağustos 2025,23 Ağustos 2025,Konut,Kiralık,Daire,130 m²,140 m²,2+1,5-10,1.Kat,3,Kombi Doğalgaz,Boş,Boş,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,17.000TL,Ordu - Fatsa - Mustafakemalpaşa Mahallesi,https://www.emlakjet.com/ilan/etgu-gayrimenkulden-sehir-merkezinde-kiralik-daire-17921240,,,,,,,,,,,,,,,
17925393,21 Ağustos 2025,23 Ağustos 2025,Konut,Kiralık,Daire,120 m²,130 m²,3+1,11-15,1.Kat,5,Kombi Doğalgaz,Boş,Boş,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,19.500TL,Ordu - Altınordu - Selimiye Mahallesi,https://www.emlakjet.com/ilan/century-21-den-selimiye-mah-sehir-merkezi-31-kiralik-daire-17925393,,,,,,,,,,,,,,,
17927323,21 Ağustos 2025,24 Ağustos 2025,Konut,Kiralık,Daire,95 m²,100 m²,2+1,16-20,2.Kat,4,Kombi Doğalgaz,Boş,Eşyalı,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,20.500TL,Ordu - Altınordu - Yeni Mahallesi,https://www.emlakjet.com/ilan/sehrin-merkezinde-kiralik-esyali-daire-100-m2-21-17927323,,,,,,,,,,,,,,,
17936722,22 Ağustos 2025,24 Ağustos 2025,Konut,Kiralık,Daire,135 m²,155 m²,3+1,5-10,1.Kat,5,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,2,Genel Fiyat,25.000TL,Ordu - Fatsa - Mustafakemalpaşa Mahallesi,https://www.emlakjet.com/ilan/efsane-emlak-tan-31-kiralik-daire-17936722,,,,,,,,,,,,,,,
17891416,16 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,125 m²,150 m²,3+1,3,11.Kat,14,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,2,Genel Fiyat,16.000TL,Ordu - Fatsa - Ayazlı Mahallesi,https://www.emlakjet.com/ilan/fatsa-ayazli-site-icinde-okullara-yakin-kiralik-31-daire-17891416,,,,,,,,,,,,,,,
17890999,16 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,130 m²,140 m²,3+1,5-10,3.Kat,3,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,28.000TL,Ordu - Altınordu - Durugöl Mahallesi,https://www.emlakjet.com/ilan/avci-dan-durugol-mahallesinde-31-asansorlu-kiralik-daire-17890999,,,,,,,,,,,,,,,
17890995,16 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,52 m²,55 m²,1+1,1,4.Kat,9,Kombi Doğalgaz,Boş,Eşyalı,Kat İrtifakı,Evet,Yok,1,Genel Fiyat,18.500TL,Ordu - Altınordu - Cumhuriyet Mahallesi,https://www.emlakjet.com/ilan/avci-dan-north-loft-konutlarinda-esyali-kiralik-11-daire-17890995,,,,,,,,,,,,,,,
17909347,18 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,180 m²,200 m²,3+1,5-10,3.Kat,4,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Eşyalı,Kat Mülkiyeti,Hayır,Yok,2,Genel Fiyat,45.000TL,Ordu - Altınordu - Kirazlimanı Mahallesi,https://www.emlakjet.com/ilan/kirazlimani-deniz-manzarali-muhtesem-esyali-31-kiralik-daire-17909347,,,,,,,,,,,,,,,
17909337,18 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,120 m²,130 m²,3+1,16-20,2.Kat,4,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,20.000TL,Ordu - Altınordu - Şahincili Mahallesi,https://www.emlakjet.com/ilan/ordu-devlet-hastane-yani-sahincili-31-esyali-kiralik-daire-17909337,,,,,,,,,,,,,,,
17897367,16 Ağustos 2025,16 Ağustos 2025,Konut,Kiralık,Daire,165 m²,180 m²,4+1,21 Ve Üzeri,4.Kat,5,Kombi Doğalgaz,Mülk Sahibi Oturuyor,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,20.000TL,Ordu - Altınordu - Yeni Mahallesi,https://www.emlakjet.com/ilan/ozkok-yaninda-merkezi-konumda-41-kiralik-daire-17897367,,,,,233,5,,,,,,,,,
17888522,15 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,50 m²,60 m²,1+1,3,10.Kat,10,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,20.000TL,Ordu - Ünye - Atatürk Mahallesi,https://www.emlakjet.com/ilan/mabel-den-cakir-tower-da-genis-esyali-11-kiralik-daire-17888522,,,,,,,,,,,,,,,
17888524,15 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,75 m²,80 m²,2+1,0 (Yeni),3.Kat,11,Yerden Isıtma,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,18.500TL,Ordu - Ünye - Gölevi Mahallesi,https://www.emlakjet.com/ilan/mabel-den-cakirkentte-ayri-mutfakli-genis-kiralik-daire-17888524,,,,,,,,,,,,,,,
17901965,17 Ağustos 2025,17 Ağustos 2025,Konut,Kiralık,Daire,40 m²,48 m²,1+1,5-10,2.Kat,4,Kombi Doğalgaz,Boş,Eşyalı,Kat İrtifakı,Hayır,,1,Birim Fiyat,20.000TL,Ordu - Gülyalı - Turnasuyu Mahallesi,https://www.emlakjet.com/ilan/sahibinden-esyali-11-daire-17901965,,,,20000 TL,106,17,Yok,,1,,,,,,
17917734,19 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,45 m²,55 m²,1+1,2,4.Kat,4,Kombi Doğalgaz,Boş,Boş,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,13.500TL,Ordu - Altınordu - Cumhuriyet Mahallesi,https://www.emlakjet.com/ilan/anadolu-gayrimenkul-den-cumhuriyet-mahallesi-kiralik-11-daire-17917734,,,,,,,,,,,,,,,
17909336,18 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,85 m²,95 m²,2+1,0 (Yeni),3.Kat,6,Kombi Doğalgaz,Boş,Boş,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,18.000TL,Ordu - Altınordu - Akçatepe Mahallesi,https://www.emlakjet.com/ilan/ordu-cumhuriyet-mahallesi-sifir-kiralik-21-daire-17909336,,,,,,,,,,,,,,,
17905757,18 Ağustos 2025,23 Ağustos 2025,Konut,Kiralık,Daire,135 m²,150 m²,3+1,4,6.Kat,16,Kombi Doğalgaz,Boş,Boş,Kat İrtifakı,Evet,Yok,1,Genel Fiyat,30.000TL,Ordu - Altınordu - Şahincili Mahallesi,https://www.emlakjet.com/ilan/anadolu-gm-den-sahincili-d-hastanesi-yani-150-m-31-site-daire-17905757,,,,,,,,,,,,,,,
17903551,17 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,45 m²,60 m²,1+1,0 (Yeni),4.Kat,4,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,12.500TL,Ordu - Ünye - Gölevi Mahallesi,https://www.emlakjet.com/ilan/resold-gayrimenkulden-golevi-mahallesin-de-11-kiralik-daire-17903551,,,,,,,,,,,,,,,
17901154,17 Ağustos 2025,23 Ağustos 2025,Konut,Kiralık,Daire,85 m²,95 m²,2+1,0 (Yeni),1.Kat,4,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,14.000TL,Ordu - Ünye - Çınarlık Mahallesi,https://www.emlakjet.com/ilan/cinarlik-mh-21-95-m2-sifir-daire-cift-balkon-asansor-iskanli-17901154,,,,,,,,,,,,,,,
