İlan Numarası,İlan Oluşturma Tarihi,İlan Güncelleme Tarihi,Türü,Kategorisi,Tipi,Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Eşya Durumu,Tapu Durumu,Site İçerisinde,Takas,Banyo Sayısı,Fiyat Durumu,fiyat,konum,URL,Depozito,Balkon Durumu,Ada,Parsel,Balkon Sayısı,WC Sayısı,Yapı Durumu,Yapı Tipi,Aidat,Balkon Tipi,Görüntülü Gezilebilir mi?,Balkon Metrekare,Banyo Metrekare,Salon Metrekare,WC Metrekare
17065677,24 Mart 2025,27 Haziran 2025,Konut,Kiralık,Daire,120 m²,125 m²,2+1,21 Ve Üzeri,2.Kat,4,Doğalgaz Sobalı,Boş,Boş,Kat İrtifakı,Hayır,,1,Genel Fiyat,9.000TL,Samsun - Bafra - İsmetpaşa Mahallesi,https://www.emlakjet.com/ilan/a-y-s-gayrimenkul-dan-21-kiralik-daire-17065677,,Var,381,9,2,1,İkinci El,Betonarme,,Açık Balkon,Evet,,,,
17100730,02 Nisan 2025,23 Ağustos 2025,Konut,Kiralık,Daire,50 m²,55 m²,1+1,0 (Yeni),2.Kat,6,Yerden Isıtma,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,14.500TL,Samsun - Atakum - Körfez Mahallesi,https://www.emlakjet.com/ilan/truva-selim-daghan-dan-atakum-da-esyali-kiralik-11-17100730,13500 TL,,,,,,,,,,,,,,
17166775,16 Nisan 2025,01 Temmuz 2025,Konut,Kiralık,Daire,60 m²,65 m²,1+1,0 (Yeni),3.Kat,4,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,21.500TL,Samsun - Atakum - Cumhuriyet Mahallesi,https://www.emlakjet.com/ilan/kopru-grup-tan-kiralik-esyali-merkezi-konumda-11-daire-17166775,,,,,,,,,,,,,,,
17166771,16 Nisan 2025,01 Temmuz 2025,Konut,Kiralık,Daire,55 m²,65 m²,1+1,5-10,2.Kat,5,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,13.000TL,Samsun - Atakum - Körfez Mahallesi,https://www.emlakjet.com/ilan/kopru-grup-tan-kiralik-esyali-11-daire-17166771,,,,,,,,,,,,,,,
17073338,25 Mart 2025,24 Ağustos 2025,Konut,Kiralık,Daire,50 m²,60 m²,1+1,21 Ve Üzeri,3.Kat,3,Kombi Doğalgaz,Boş,Boş,Kooperatiften Tapu,Hayır,Yok,1,Genel Fiyat,8.000TL,Samsun - Atakum - Yeşildere Mahallesi,https://www.emlakjet.com/ilan/samsun-atakum-yesildere-mahallesi-nde-depozitosuz-abonelikleri-acik-11-kiralik-daire-17073338,,Var,,,,1,İkinci El,Betonarme,,,Evet,,,,
17147247,12 Nisan 2025,03 Temmuz 2025,Konut,Kiralık,Daire,40 m²,50 m²,1+1,0 (Yeni),1.Kat,3,Yerden Isıtma,Boş,Boş,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,14.000TL,Samsun - Atakum - Körfez Mahallesi,https://www.emlakjet.com/ilan/hisardan-toplu-konuta-cephe-sifir-esyali-kiralik-11-daire-17147247,,,,,,,,,,,,,,,
17178600,18 Nisan 2025,01 Temmuz 2025,Konut,Kiralık,Daire,120 m²,160 m²,3+1,16-20,4.Kat,4,Kombi Doğalgaz,Boş,Boş,Müstakil Tapulu,Hayır,Yok,1,Genel Fiyat,9.000TL,Samsun - Bafra - İsmetpaşa Mahallesi,https://www.emlakjet.com/ilan/temel-emlaktan-sonmezler-mevki-terasli-kiralik-31-daire-17178600,,,,,,,,,,,,,,,
17118234,05 Nisan 2025,02 Temmuz 2025,Konut,Kiralık,Daire,220 m²,240 m²,4+1,16-20,8.Kat,17,Merkezi (Pay Ölçer),Boş,Boş,Kat Mülkiyeti,Evet,Yok,2,Genel Fiyat,25.000TL,Samsun - Atakum - Yeşildere Mahallesi,https://www.emlakjet.com/ilan/brn-global-den-4-mevsim-sitesinde-deniz-manzarali-kiralik-daire-17118234,,,,,,,,,,,,,,,
16887178,23 Şubat 2025,28 Temmuz 2025,Konut,Kiralık,Daire,50 m²,55 m²,1+1,1,5.Kat,5,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,9.500TL,Samsun - Atakum - Körfez Mahallesi,https://www.emlakjet.com/ilan/korfez-pamuklu-bul-da-11-deniz-manzarali-daire-16887178,,,,,,,,,,,,,,,
16887279,23 Şubat 2025,30 Temmuz 2025,Konut,Kiralık,Daire,50 m²,60 m²,1+1,1,3.Kat,5,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,16.500TL,Samsun - Atakum - Körfez Mahallesi,https://www.emlakjet.com/ilan/deniz-manzarali-tramvaya-yakin-kiralik-esyali-11-16887279,,,,,,,,,,,,,,,
17160743,15 Nisan 2025,02 Ağustos 2025,Konut,Kiralık,Daire,115 m²,130 m²,2+1,21 Ve Üzeri,3.Kat,3,Kombi Doğalgaz,Boş,Eşyalı,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,15.000TL,Samsun - İlkadım - Rasathane Mahallesi,https://www.emlakjet.com/ilan/gencbay-emlak-tan-rasathane-mah-2-kat-full-esyali-masrafsiz-kiralik-temiz-daire-17160743,15000 TL,Var,417,22,,1,İkinci El,Betonarme,100 TL,,,,,,
16999193,11 Mart 2025,07 Temmuz 2025,Konut,Kiralık,Daire,130 m²,145 m²,3+1,21 Ve Üzeri,4.Kat,5,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,12.850TL,Samsun - Atakum - Esenevler Mahallesi,https://www.emlakjet.com/ilan/esenevlerde-deniz-manzarali-kiralik-31-16999193,,,293,5,,,,,,,,,,,
17154941,14 Nisan 2025,01 Temmuz 2025,Konut,Kiralık,Daire,55 m²,65 m²,1+1,0 (Yeni),2.Kat,4,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,12.000TL,Samsun - Atakum - Çobanlı Mahallesi,https://www.emlakjet.com/ilan/fmc-gayrimekul-den-cobanlida-kiralik-11-firsat-17154941,,,,,,,,,,,,,,,
17068647,24 Mart 2025,22 Haziran 2025,Konut,Kiralık,Daire,55 m²,65 m²,2+1,0 (Yeni),6.Kat,11,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,12.500TL,Samsun - Canik - Gürgenyatak Mahallesi,https://www.emlakjet.com/ilan/samsun-universitesi-yani-moonlight-da-kiralik-esyali-21-daire-17068647,,,10601,1,,,,,,,,,,,
17174428,18 Nisan 2025,01 Temmuz 2025,Konut,Kiralık,Daire,45 m²,50 m²,1+1,11-15,12.Kat,12,Kombi Doğalgaz,Boş,Eşyalı,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,15.000TL,Samsun - Atakum - Yenimahalle Mahallesi,https://www.emlakjet.com/ilan/cagaloglu-caddesi-uzerinde-teras-kat-esyali-kiralik-11-daire-17174428,,,,,,,,,,,,,,,
17147244,12 Nisan 2025,03 Temmuz 2025,Konut,Kiralık,Daire,40 m²,50 m²,1+1,0 (Yeni),1.Kat,3,Yerden Isıtma,Boş,Eşyalı,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,14.000TL,Samsun - Atakum - Körfez Mahallesi,https://www.emlakjet.com/ilan/hisardan-toplu-konutda-sifr-deniz-manzrali-esyali-kiralik-daire-17147244,,,,,,,,,,,,,,,
17114665,05 Nisan 2025,19 Ağustos 2025,Konut,Kiralık,Daire,90 m²,110 m²,2+1,21 Ve Üzeri,Yüksek Giriş,5,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,14.000TL,Samsun - Atakum - Mevlana Mahallesi,https://www.emlakjet.com/ilan/uygun-dan-atakum-mevlana-mah-tramvaya-yakin-cagaloglu-bulvari-yani-merkezi-yerde-21-kiralik-17114665,,,13065,8,,,İkinci El,Betonarme,300 TL,,,,,,
17156225,14 Nisan 2025,01 Temmuz 2025,Konut,Kiralık,Daire,120 m²,130 m²,2+1,5-10,7.Kat,8,Merkezi (Pay Ölçer),Boş,Eşyalı,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,20.000TL,Samsun - İlkadım - Kıran Mahallesi,https://www.emlakjet.com/ilan/ilkadim-kiran-tokide-esyali-kiralik-daire-17156225,20000 TL,Var,12282,4,2,2,İkinci El,Betonarme,,Açık Balkon,,,,,
16868704,21 Şubat 2025,30 Temmuz 2025,Konut,Kiralık,Daire,90 m²,110 m²,2+1,5-10,4.Kat,5,Kombi Doğalgaz,Boş,Boş,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,17.000TL,Samsun - Atakum - Yenimahalle Mahallesi,https://www.emlakjet.com/ilan/kurupelit-tramvay-ustu-kiralik-21-16868704,,,,,,,,,,,,,,,
16856177,19 Şubat 2025,30 Haziran 2025,Konut,Kiralık,Daire,40 m²,50 m²,1+1,0 (Yeni),2.Kat,4,Yerden Isıtma,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,14.000TL,Samsun - Atakum - İncesu Yalı Mahallesi,https://www.emlakjet.com/ilan/incesu-da-esyali-kiralik-11-daire-16856177,,,,,,,,,,,,,,,
17033762,18 Mart 2025,31 Temmuz 2025,Konut,Kiralık,Daire,140 m²,150 m²,3+1,16-20,2.Kat,5,Kombi Doğalgaz,Boş,Boş,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,21.000TL,Samsun - Atakum - Cumhuriyet Mahallesi,https://www.emlakjet.com/ilan/cb-park-can-sever-den-atakumda-kiralik-31-17033762,,,,,,,,,,,,,,,
17090398,29 Mart 2025,30 Temmuz 2025,Konut,Kiralık,Daire,40 m²,45 m²,1+1,0 (Yeni),7.Kat,9,Kombi Doğalgaz,Boş,Boş,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,13.500TL,Samsun - Canik - Yenimahalle Mahallesi,https://www.emlakjet.com/ilan/yunus-celebi-den-canik-te-caddeye-cephe-11-17090398,,,,,,,,,,,,,,,
17144335,11 Nisan 2025,24 Ağustos 2025,Konut,Kiralık,Daire,65 m²,80 m²,2+0,21 Ve Üzeri,Yüksek Giriş,3,Kombi Doğalgaz,Boş,Boş,Kooperatiften Tapu,Hayır,Yok,1,Genel Fiyat,8.000TL,Samsun - Atakum - Yeşildere Mahallesi,https://www.emlakjet.com/ilan/samsun-ilkadim-yesildere-mahallesi-nde-depozitosuz-abonelikleri-acik-20-kiralik-daire-17144335,,Yok,,,,1,İkinci El,Betonarme,,,Evet,,,,
17086302,28 Mart 2025,20 Haziran 2025,Konut,Kiralık,Daire,95 m²,110 m²,2+1,21 Ve Üzeri,4.Kat,4,Kombi Doğalgaz,Boş,Boş,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,10.500TL,Samsun - İlkadım - Unkapanı Mahallesi,https://www.emlakjet.com/ilan/aress-den-kiralik-ilkadim-unkapani-mevki-21-daire-17086302,,,,,,,,,,,,,,,
16417461,04 Aralık 2024,01 Ağustos 2025,Konut,Kiralık,Daire,135 m²,150 m²,3+1,21 Ve Üzeri,4.Kat,4,Kombi Doğalgaz,Boş,,Kat İrtifakı,Hayır,,1,Genel Fiyat,10.000TL,Samsun - Çarşamba - Çay Mahallesi,https://www.emlakjet.com/ilan/sevgi-emlaktan-kiralik-16417461,,,,,,,,,,,,,,,
16617680,08 Ocak 2025,03 Haziran 2025,Konut,Kiralık,Daire,95 m²,110 m²,2+1,11-15,4.Kat,4,Kombi Doğalgaz,Boş,Eşyalı,Bilinmiyor,Hayır,Yok,1,Genel Fiyat,13.000TL,Samsun - İlkadım - Adalet Mahallesi,https://www.emlakjet.com/ilan/44-gayrimenkulden-merkezi-lokasyonda-esyali-21-daire-16617680,,,,,,,,,,,,,,,
16460356,12 Aralık 2024,13 Ağustos 2025,Konut,Kiralık,Daire,100 m²,120 m²,3+1,21 Ve Üzeri,4.Kat,4,Sobalı,Boş,Eşyalı,Tapu Kaydı Yok,Hayır,,1,Genel Fiyat,8.500TL,Samsun - İlkadım - Zafer Mahallesi,https://www.emlakjet.com/ilan/samsun-da-ciftlik-efes-pastanesi-yakini-120-m2-31-terasli-full-esyali-daire-16460356,10000 TL,,,,,,,,,,,,,,
16626664,09 Ocak 2025,02 Temmuz 2025,Konut,Kiralık,Daire,43 m²,50 m²,1+1,5-10,4.Kat,5,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,12.000TL,Samsun - Atakum - Körfez Mahallesi,https://www.emlakjet.com/ilan/aytas-emlak-tan-atakum-korfez-mah-de-rayli-sistemm-alti-kiralik-11-daire-16626664,,,1743,7,,,İkinci El,Betonarme,,,,,,,
16619754,08 Ocak 2025,30 Haziran 2025,Konut,Kiralık,Daire,90 m²,100 m²,2+1,4,3.Kat,8,Kombi Doğalgaz,Boş,,Kat İrtifakı,Hayır,,1,Genel Fiyat,25.000TL,Samsun - İlkadım - Karasamsun Mahallesi,https://www.emlakjet.com/ilan/yusuf-usta-gayrimenkul-den-kalkanci-da-kiralik-esyali-21-daire-16619754,,,2394,12,,,,,,,,,,,
16497049,18 Aralık 2024,20 Haziran 2025,Konut,Kiralık,Daire,95 m²,110 m²,2+1,5-10,Yüksek Giriş,5,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,8.500TL,Samsun - İlkadım - Fevzi Çakmak Mahallesi,https://www.emlakjet.com/ilan/aress-gayrimenkul-den-kiralik-fevzicakmak-21-daire-16497049,,,,,,,,,,,,,,,
16462816,13 Aralık 2024,18 Ağustos 2025,Konut,Kiralık,Daire,55 m²,65 m²,1+1,3,3.Kat,5,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,13.700TL,Samsun - Atakum - Körfez Mahallesi,https://www.emlakjet.com/ilan/truva-dan-korfezde-kiralik-genis-cam-balkonlu-11-esyali-daire-16462816,,Var,9365,8,1,,,,,Kapalı Balkon,,,,,
16510071,20 Aralık 2024,23 Ağustos 2025,Konut,Kiralık,Daire,145 m²,170 m²,3+1,5-10,7.Kat,8,Kombi Doğalgaz,Boş,,Tapu Kaydı Yok,Hayır,,2,Genel Fiyat,29.000TL,Samsun - Atakum - Yenimahalle Mahallesi,https://www.emlakjet.com/ilan/truva-dan-cobanli-tramvay-duragi-ustunde-kiralik-31-daire-16510071,,,,,,,,,,,,,,,
16503195,19 Aralık 2024,02 Temmuz 2025,Konut,Kiralık,Daire,90 m²,100 m²,2+1,21 Ve Üzeri,4.Kat,4,Kombi Doğalgaz,Boş,,Kat İrtifakı,Hayır,,1,Genel Fiyat,10.000TL,Samsun - İlkadım - Unkapanı Mahallesi,https://www.emlakjet.com/ilan/aress-den-ilkadim-unkapani-mevki-21-daire-16503195,12000 TL,Var,,,,,,,50 TL,,,,,,
16652005,13 Ocak 2025,05 Ağustos 2025,Konut,Kiralık,Daire,90 m²,95 m²,2+1,11-15,Düz Giriş (Zemin),3,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,15.250TL,Samsun - Atakum - Cumhuriyet Mahallesi,https://www.emlakjet.com/ilan/alan-emlaktan-merkezi-konumda-esyali-21-daire-16652005,,,,,,,,,,,,,,,
16757646,31 Ocak 2025,04 Haziran 2025,Konut,Kiralık,Daire,55 m²,60 m²,1+1,1,3.Kat,6,Kombi Doğalgaz,Boş,Eşyalı,Bilinmiyor,Hayır,Yok,1,Genel Fiyat,15.500TL,Samsun - Atakum - Körfez Mahallesi,https://www.emlakjet.com/ilan/gkb-yapi-dan-tramvaya-yakin-esyali-kiralik-11-sifir-daire-16757646,,,,,,,Sıfır,Betonarme,,,,,,,
16370257,27 Kasım 2024,20 Haziran 2025,Konut,Kiralık,Daire,50 m²,55 m²,1+1,0 (Yeni),1.Kat,5,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,13.000TL,Samsun - Atakum - Körfez Mahallesi,https://www.emlakjet.com/ilan/referans-gayrimenkul-kiralik-esyali-11-16370257,,,,,,,,,,,,,,,
16836040,15 Şubat 2025,15 Ağustos 2025,Konut,Kiralık,Daire,41 m²,49 m²,1+1,1,2.Kat,4,Kombi Doğalgaz,Boş,,Kat İrtifakı,Hayır,,1,Genel Fiyat,15.000TL,Samsun - Atakum - Esenevler Mahallesi,https://www.emlakjet.com/ilan/camlicadan-tramvaya-cephe-merkezi-konumda-kiralik-11-daire-16836040,,,240,1,,,,,,,,,,,
16397968,01 Aralık 2024,28 Haziran 2025,Konut,Kiralık,Daire,90 m²,100 m²,2+1,21 Ve Üzeri,3.Kat,3,Kombi Doğalgaz,Boş,,Kat İrtifakı,Hayır,,1,Genel Fiyat,12.500TL,Samsun - İlkadım - Bahçelievler Mahallesi,https://www.emlakjet.com/ilan/ciftlik-mahallesinde-kiralik-21-terasli-daire-16397968,12500 TL,Var,473,5,2,,,,,"Açık Balkon, Açık Teras",,,,,
16807996,11 Şubat 2025,05 Mayıs 2025,Konut,Kiralık,Daire,50 m²,60 m²,1+1,0 (Yeni),4.Kat,4,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,15.000TL,Samsun - Atakum - Balaç Mahallesi,https://www.emlakjet.com/ilan/sifir-esyali-kiralik-11-16807996,,,,,,,,,,,,,,,
16465051,13 Aralık 2024,11 Ağustos 2025,Konut,Kiralık,Daire,60 m²,70 m²,1+1,5-10,2.Kat,3,Sobalı,Boş,,Kat İrtifakı,Hayır,,1,Genel Fiyat,8.000TL,Samsun - Çarşamba - Çay Mahallesi,https://www.emlakjet.com/ilan/hasbahce-mah-11temiz-sobali-kiralik-daire-merkezde-16465051,,,,,,1,,,,,,,,,
16426113,05 Aralık 2024,30 Haziran 2025,Konut,Kiralık,Daire,42 m²,50 m²,1+1,0 (Yeni),2.Kat,5,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,10.000TL,Samsun - Atakum - Körfez Mahallesi,https://www.emlakjet.com/ilan/atakum-korfez-mah-pamuklu-bulv-sifir-kiralik-11-daire-16426113,,Var,,,1,1,,,,,,,,,
16788779,07 Şubat 2025,09 Ağustos 2025,Konut,Kiralık,Daire,45 m²,55 m²,1+1,1,3.Kat,5,Kombi Doğalgaz,Boş,,Yabancıdan,Hayır,,1,Genel Fiyat,16.000TL,Samsun - Atakum - Körfez Mahallesi,https://www.emlakjet.com/ilan/atamarin-den-kiralik-klimali-esyali-11-daire-16788779,,,,,,,,,,,,,,,
16369997,27 Kasım 2024,30 Temmuz 2025,Konut,Kiralık,Daire,90 m²,100 m²,2+1,21 Ve Üzeri,1.Kat,4,Kombi Doğalgaz,Boş,Boş,Bilinmiyor,Hayır,Yok,1,Genel Fiyat,8.000TL,Samsun - Canik - Karşıyaka Mahallesi,https://www.emlakjet.com/ilan/canik-belediye-binasina-yakin-kiralik-21-16369997,,,,,,,,,,,,,,,
16812724,11 Şubat 2025,23 Temmuz 2025,Konut,Kiralık,Daire,55 m²,60 m²,1+1,2,4.Kat,5,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,18.000TL,Samsun - Atakum - Körfez Mahallesi,https://www.emlakjet.com/ilan/atakum-korfez-de-esyali-11-kiralik-daire-16812724,18000 TL,Var,1767,1,1,,,,200 TL,,,,,,
16493476,17 Aralık 2024,15 Temmuz 2025,Konut,Kiralık,Daire,45 m²,50 m²,1+1,0 (Yeni),5.Kat,5,Yerden Isıtma,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,15.250TL,Samsun - Atakum - Körfez Mahallesi,https://www.emlakjet.com/ilan/atakum-korfez-mah-deniz-man-sifir-esyali-kiralik-11-daire-16493476,,,,,,,,,,,,,,,
16733980,25 Ocak 2025,04 Haziran 2025,Konut,Kiralık,Daire,45 m²,55 m²,1+1,0 (Yeni),1.Kat,6,Yerden Isıtma,Boş,Eşyalı,Bilinmiyor,Hayır,Yok,1,Genel Fiyat,14.750TL,Samsun - Atakum - Alanlı Mahallesi,https://www.emlakjet.com/ilan/gkb-yapi-dan-sifir-esyali-kiralik-11-daire-16733980,,,,,,,Sıfır,Betonarme,430 TL,,,,,,
16742955,27 Ocak 2025,24 Ağustos 2025,Konut,Kiralık,Daire,65 m²,75 m²,1+1,21 Ve Üzeri,2.Kat,2,Kombi Doğalgaz,Boş,Eşyalı,Kooperatiften Tapu,Hayır,Yok,1,Genel Fiyat,12.000TL,Samsun - İlkadım - Kadifekale Mahallesi,https://www.emlakjet.com/ilan/samsun-ilkadim-kadifekale-mahallesinde-abonelikleri-acik-11-esyali-kiralik-daire-16742955,12000 TL,Var,,,,2,İkinci El,Betonarme,,,Evet,,,,
16533286,24 Aralık 2024,23 Haziran 2025,Konut,Kiralık,Daire,50 m²,65 m²,1+1,5-10,2.Kat,5,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,15.000TL,Samsun - Atakum - Büyükoyumca Mahallesi,https://www.emlakjet.com/ilan/arotis-gayrimenkul-sifir-esyali-korfez-11-kiralik-16533286,,,1735,3,,,İkinci El,Betonarme,,,,,,,
16406647,02 Aralık 2024,20 Haziran 2025,Konut,Kiralık,Daire,40 m²,45 m²,1+1,0 (Yeni),4.Kat,5,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,15.000TL,Samsun - Atakum - Körfez Mahallesi,https://www.emlakjet.com/ilan/korfez-mahallesinde-kiralik-esyali-11-daire-16406647,15000 TL,Var,2895,9,1,1,Sıfır,Betonarme,300 TL,Açık Balkon,Hayır,,,,
16323839,20 Kasım 2024,30 Mayıs 2025,Konut,Kiralık,Daire,50 m²,53 m²,1+1,3,2.Kat,5,Kombi Doğalgaz,Boş,Boş,Bilinmiyor,Hayır,Yok,1,Genel Fiyat,12.500TL,Samsun - Atakum - Körfez Mahallesi,https://www.emlakjet.com/ilan/alan-emlak-tan-korfez-de-tramvaya-yakin-kiralik-11-daire-16323839,,,,,,,,,,,,,,,
16848852,18 Şubat 2025,12 Ağustos 2025,Konut,Kiralık,Daire,40 m²,55 m²,1+1,3,Yüksek Giriş,9,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,12.000TL,Samsun - Canik - Hasköy Mahallesi,https://www.emlakjet.com/ilan/haskoy-mese-de-ugur-okulunun-karsisinda-kiralik-11-daire-16848852,,,11640,5,,,,,,,,,,,
16787472,06 Şubat 2025,13 Ağustos 2025,Konut,Kiralık,Daire,55 m²,65 m²,2+1,0 (Yeni),4.Kat,11,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,13.500TL,Samsun - Canik - Gürgenyatak Mahallesi,https://www.emlakjet.com/ilan/samsun-universitesi-yani-moonlight-da-kiralik-esyali-21-daire-16787472,13500 TL,Var,10601,1,1,1,Sıfır,Betonarme,1000 TL,Açık Balkon,Hayır,,,,
16535849,25 Aralık 2024,01 Temmuz 2025,Konut,Kiralık,Daire,80 m²,90 m²,2+1,4,1.Kat,3,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,30.000TL,Samsun - Atakum - Mevlana Mahallesi,https://www.emlakjet.com/ilan/gokdelenler-ve-ozel-okullar-bolgesinde-esyali-21-16535849,,,,,,,,,,,,,,,
16820673,13 Şubat 2025,02 Temmuz 2025,Konut,Kiralık,Daire,125 m²,130 m²,3+0,11-15,2.Kat,5,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,15.000TL,Samsun - Bafra - Emirefendi Mahallesi,https://www.emlakjet.com/ilan/power-gayrimenkulden-imamhatip-lisesi-arkasinda-30-16820673,,,,,,,,,,,,,,,
16258190,12 Kasım 2024,13 Ağustos 2025,Konut,Kiralık,Daire,156 m²,170 m²,3+1,4,8.Kat,11,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,2,Genel Fiyat,23.000TL,Samsun - Atakum - Balaç Mahallesi,https://www.emlakjet.com/ilan/atakum-balac-ta-full-deniz-manzarali-170m-daire-16258190,23000 TL,Var,9431,10,2,2,İkinci El,Betonarme,360 TL,Açık Balkon,Hayır,20 m²,4 m²,40 m²,4 m²
16125103,20 Ekim 2024,20 Haziran 2025,Konut,Kiralık,Daire,45 m²,50 m²,1+1,5-10,7.Kat,9,Kombi Doğalgaz,Boş,Eşyalı,Bilinmiyor,Evet,Yok,1,Genel Fiyat,15.500TL,Samsun - Atakum - Yenimahalle Mahallesi,https://www.emlakjet.com/ilan/yenimahalle-cagaloglu-cad-bir-ust-sokagi-kiralik-manzarali-11-16125103,,,,,,,,,,,,,,,
15804379,31 Ağustos 2024,19 Ağustos 2025,Konut,Kiralık,Daire,60 m²,65 m²,1+1,5-10,Yüksek Giriş,4,Kombi Doğalgaz,Boş,Eşyalı,Kooperatiften Tapu,Hayır,Yok,1,Genel Fiyat,16.000TL,Samsun - Atakum - Körfez Mahallesi,https://www.emlakjet.com/ilan/uygun-cam-balkonlu-aboneler-acik-korfez-mah-11-ful-esyali-tramvaya-denize-universiteye-yakin-15804379,,,,,,,İkinci El,Betonarme,135 TL,,,,,,
15829093,04 Eylül 2024,09 Mayıs 2025,Konut,Kiralık,Daire,115 m²,120 m²,3+1,16-20,3.Kat,5,Sobalı,Boş,,Bilinmiyor,Hayır,,1,Genel Fiyat,8.500TL,Samsun - Çarşamba - Çay Mahallesi,https://www.emlakjet.com/ilan/merkez-de-olup-sobali-ekonomik-kiralik-15829093,,Var,,,,,,,,,,,,,
15251493,28 Mayıs 2024,20 Ağustos 2025,Konut,Kiralık,Daire,50 m²,57 m²,1+1,0 (Yeni),3.Kat,5,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,13.800TL,Samsun - Atakum - Körfez Mahallesi,https://www.emlakjet.com/ilan/ali-erisgin-den-yerden-isitmali-esyali-11-kiralik-daire-15251493,13800 TL,Var,,,1,,,,,,,,,,
16137177,22 Ekim 2024,28 Temmuz 2025,Konut,Kiralık,Daire,50 m²,55 m²,1+1,0 (Yeni),3.Kat,5,Kombi Doğalgaz,Boş,,Bilinmiyor,Hayır,,1,Genel Fiyat,9.500TL,Samsun - Atakum - Körfez Mahallesi,https://www.emlakjet.com/ilan/ozkan-yapi-gayrimenkul-den-pamuklu-bulvarinda-kiralik-daireler-16137177,9500 TL,,,,,,,,250 TL,,,,,,
16059790,12 Ekim 2024,10 Temmuz 2025,Konut,Kiralık,Daire,98 m²,115 m²,3+1,5-10,1.Kat,3,Kombi Doğalgaz,Boş,Boş,Bilinmiyor,Hayır,,2,Genel Fiyat,19.000TL,Samsun - Atakum - Mimarsinan Mahallesi,https://www.emlakjet.com/ilan/turkis-tramvay-yani-31-kiralik-daire-mimarsinan-mahallesi-atakum-16059790,25000 TL,,8437,21,,2,,,,,,,,,
