İlan Numarası,İlan Oluşturma Tarihi,İlan Güncelleme Tarihi,Türü,Kategorisi,Tipi,Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Eşya Durumu,Tapu Durumu,Site İçerisinde,Takas,Banyo Sayısı,Fiyat Durumu,fiyat,konum,URL,Aidat,Depozito,Balkon Durumu,Balkon Sayısı,Ada,Parsel,Yapı Durumu,Yapı Tipi,Balkon Tipi,Banyo Metrekare,Salon Metrekare,WC Sayısı,WC Metrekare,Balkon Metrekare,Görüntülü Gezilebilir mi?
17918486,20 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,124 m²,135 m²,3+1,5-10,Düz Giriş (Zemin),5,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Evet,Yok,2,Genel Fiyat,28.750TL,İzmir - Menemen - İstiklal Mahallesi,https://www.emlakjet.com/ilan/kent-2-istiklalde-havuzlu-guvenlikli-site-ici-kiralik-daire-17918486,,,,,,,,,,,,,,,
17914311,19 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,98 m²,100 m²,3+1,21 Ve Üzeri,Yüksek Giriş,4,Kombi Doğalgaz,Boş,,Kat İrtifakı,Evet,,1,Genel Fiyat,21.500TL,İzmir - Bornova - İnönü Mahallesi,https://www.emlakjet.com/ilan/bornova-inonu-mah-31-kiralik-daire-17914311,,,,,3066,28,,,,,,,,,
17913285,19 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,45 m²,50 m²,1+1,5-10,2.Kat,2,Klimalı,Boş,Eşyalı,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,20.000TL,İzmir - Buca - Kuruçeşme Mahallesi,https://www.emlakjet.com/ilan/kampuse-yurume-mesafesinde-esyali-kiralik-daire-17913285,,,,,,,,,,,,,,,
17915259,19 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,55 m²,65 m²,1+1,5-10,3.Kat,4,Doğalgaz Sobalı,Boş,,Kat Mülkiyeti,Hayır,,1,Birim Fiyat,19.000TL,İzmir - Buca - Atatürk Mahallesi,https://www.emlakjet.com/ilan/izmir-buca-da-sahibinden-esyali-11-kiralik-daire-17915259,,19000 TL,Var,1,41388,17,,,,,,,,,
17914521,19 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,100 m²,110 m²,2+1,21 Ve Üzeri,Yüksek Giriş,3,Kombi Doğalgaz,Boş,,Hisseli Tapu,Hayır,,1,Genel Fiyat,17.500TL,İzmir - Ödemiş - Atatürk Mahallesi,https://www.emlakjet.com/ilan/gulcu-gayrimenkulden-ataturk-mahallesinde-kiralik-zemin-kat-daire-17914521,,,,,294,230,,,,,,,,,
17914621,19 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,38 m²,46 m²,1+1,5-10,Yüksek Giriş,4,Klimalı,Boş,,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,16.500TL,İzmir - Buca - Adatepe Mahallesi,https://www.emlakjet.com/ilan/adatepe-mah-full-esyali-y-giris-11-kiralik-daire-17914621,,16500 TL,,,,,İkinci El,Betonarme,,,,,,,
17913336,19 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,110 m²,125 m²,3+1,21 Ve Üzeri,4.Kat,8,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,30.000TL,İzmir - Konak - Altıntaş Mahallesi,https://www.emlakjet.com/ilan/esyali-kiralik-ucyol-meydan-cadde-uzeri-2-cephe-17913336,,,,,,,,,,,,,,,
17914584,19 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,73 m²,94 m²,2+1,0 (Yeni),6.Kat,7,Merkezi (Pay Ölçer),Kiracı Oturuyor,,Kat İrtifakı,Hayır,,1,Genel Fiyat,32.000TL,İzmir - Menemen - 29 Ekim Mahallesi,https://www.emlakjet.com/ilan/ulukent-magna-kent-sitesinde-kiralik-sifir-21-luks-daire-17914584,,,,,3432,2,,,,,,,,,
17913400,19 Ağustos 2025,23 Ağustos 2025,Konut,Kiralık,Daire,60 m²,65 m²,1+1,0 (Yeni),3.Kat,3,Kombi Doğalgaz,Boş,Boş,Kat İrtifakı,Evet,Yok,1,Genel Fiyat,19.500TL,İzmir - Menemen - 9 Eylül Mahallesi,https://www.emlakjet.com/ilan/menemen-ulukent-merkezde-izban-yakini-d-gazli-sifir-genis-11-17913400,,,,,,,,,,,,,,,
17914679,19 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,90 m²,100 m²,2+1,21 Ve Üzeri,2.Kat,2,Isıtma Yok,Boş,,Kooperatiften Tapu,Hayır,,1,Genel Fiyat,14.000TL,İzmir - Bayraklı - Cengizhan Mahallesi,https://www.emlakjet.com/ilan/artenew-den-21-temiz-kiralik-daire-17914679,0 TL,14000 TL,Var,1,,,,,,,,,,,
17914709,19 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,130 m²,135 m²,3+1,21 Ve Üzeri,Düz Giriş (Zemin),2,Klimalı,Boş,Eşyalı,Arsa Tapulu,Hayır,,1,Genel Fiyat,25.000TL,İzmir - Bergama - Fatih Mahallesi,https://www.emlakjet.com/ilan/fatih-mahallesi-31-esyali-kiralik-daire-17914709,,,,,613,78,,,,,,,,,
17913253,19 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,105 m²,115 m²,3+1,5-10,Yüksek Giriş,2,Kombi Doğalgaz,Boş,,Kat İrtifakı,Hayır,,2,Genel Fiyat,65.000TL,İzmir - Güzelbahçe - Maltepe Mahallesi,https://www.emlakjet.com/ilan/guzelbahce-maltepe-mahallesi-31-bahceli-ve-terasli-kiralik-daire-17913253,,,,,2710,2,,,,,,,,,
17913159,19 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,120 m²,135 m²,3+1,4,1.Kat,5,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,2,Genel Fiyat,40.000TL,İzmir - Bayraklı - Gümüşpala Mahallesi,https://www.emlakjet.com/ilan/bayrakli-gumuspala-da-esyali-kiralik-daire-17913159,,,,,,,,,,,,,,,
17914671,19 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,90 m²,100 m²,2+1,21 Ve Üzeri,1.Kat,4,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,20.000TL,İzmir - Konak - Altıntaş Mahallesi,https://www.emlakjet.com/ilan/izmir-konak-altintas-mah-dogalgazli-21-kiralik-daire-17914671,,,,,,,,,,,,,,,
17914723,19 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,37 m²,45 m²,1+1,0 (Yeni),1.Kat,3,Yerden Isıtma,Boş,Boş,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,14.000TL,İzmir - Menemen - Gazi Mustafa Kemal Mahallesi,https://www.emlakjet.com/ilan/seyrek-bakircay-universitesi-yakini-11-kiralik-sifir-daire-17914723,,14000 TL,Var,1,155,1,Sıfır,Betonarme,Açık Balkon,,,1,,,Evet
17914688,19 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,55 m²,60 m²,2+0,5-10,1.Kat,4,Kombi Doğalgaz,Boş,Eşyalı,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,20.000TL,İzmir - Buca - Atatürk Mahallesi,https://www.emlakjet.com/ilan/turyap-tan-univeriste-karsisinda-dogalgazli-kiralik-daire-17914688,,,,,,,,,,,,,,,
17913180,19 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,100 m²,110 m²,2+1,21 Ve Üzeri,Yüksek Giriş,3,Kombi Doğalgaz,Boş,,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,18.000TL,İzmir - Karabağlar - Ali Fuat Cebesoy Mahallesi,https://www.emlakjet.com/ilan/karabagalar-ali-fuat-cebesoy-mah-tadilatli-bahceli-21-kiralik-17913180,50 TL,,,,,,,,,,,,,,
17915182,19 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,90 m²,105 m²,2+1,16-20,3.Kat,4,Klimalı,Boş,Eşyalı,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,20.000TL,İzmir - Buca - Menderes Mahallesi,https://www.emlakjet.com/ilan/buca-menders-mh-kiz-kulesi-yk-esyali-cift-klimali-esyali-21-daire-17915182,,20000 TL,Var,2,6003,23,İkinci El,Betonarme,Açık Balkon,,,2,,,Hayır
17913234,19 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,115 m²,125 m²,3+1,21 Ve Üzeri,2.Kat,4,Kombi Doğalgaz,Kiracı Oturuyor,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,36.000TL,İzmir - Karabağlar - Muammer Akar Mahallesi,https://www.emlakjet.com/ilan/izmir-poligon-metro-demokrasi-uni-yakini-esyali-31-kiralik-dai-17913234,,,,,,,,,,,,,,,
17914298,19 Ağustos 2025,23 Ağustos 2025,Konut,Kiralık,Daire,85 m²,95 m²,2+1,21 Ve Üzeri,Bahçe Katı,2,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,30.000TL,İzmir - Buca - Dumlupınar Mahallesi,https://www.emlakjet.com/ilan/hdm35-den-iki-kiz-ogrenciye-bakimli-egitim-fak-karsisinda-daire-17914298,,,,,,,,,,,,,,,
17913205,19 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,118 m²,128 m²,3+1,21 Ve Üzeri,5.Kat,6,Merkezi (Pay Ölçer),Boş,,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,43.000TL,İzmir - Konak - Göztepe Mahallesi,https://www.emlakjet.com/ilan/goztepe-valikonagin-da-31-kiralik-daire-17913205,,,,,,,,,,,,,,,
17913828,19 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,115 m²,130 m²,3+1,11-15,2.Kat,4,Kombi Doğalgaz,Boş,,Kat İrtifakı,Evet,,1,Genel Fiyat,20.000TL,İzmir - Ödemiş - Süleyman Demirel Mahallesi,https://www.emlakjet.com/ilan/izmir-odemis-in-en-prestijli-konumunda-kiralik-31-daire-17913828,,,,,1001,19,,,,,,,,,
17914123,19 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,47 m²,58 m²,1+1,5-10,2.Kat,3,Kombi Doğalgaz,Boş,,Kat İrtifakı,Hayır,,1,Genel Fiyat,24.000TL,İzmir - Karabağlar - Vatan Mahallesi,https://www.emlakjet.com/ilan/yesilyurt-vatan-mahallesinde-kiralik-11-luks-daire-17914123,,,,,13023,4,,,,,,,,,
17913166,19 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,110 m²,120 m²,3+1,21 Ve Üzeri,1.Kat,5,Kombi Doğalgaz,Boş,,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,28.000TL,İzmir - Karşıyaka - Tuna Mahallesi,https://www.emlakjet.com/ilan/karsiyaka-carsi-akbank-sokak-31-kiralik-17913166,350 TL,,,,,,,,,,,,,,
17913351,19 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,100 m²,110 m²,2+1,21 Ve Üzeri,3.Kat,4,Kombi Doğalgaz,Boş,Boş,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,31.000TL,İzmir - Karabağlar - Fahrettin Altay Mahallesi,https://www.emlakjet.com/ilan/fahrettin-altay-meydan-yakini-dogalgazli-21-ferah-kiralik-daire-17913351,,,,,,,,,,,,,,,
17915041,19 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,125 m²,140 m²,3+1,2,5.Kat,5,Kombi Doğalgaz,Boş,,Kat İrtifakı,Hayır,,2,Genel Fiyat,35.000TL,İzmir - Tire - Fatih Mahallesi,https://www.emlakjet.com/ilan/kafeler-bolgesi-yemen-kahve-kasisi-17915041,,,,,1692,2,,,,,,,,,
17913452,19 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,40 m²,50 m²,1+1,5-10,2.Kat,4,Klimalı,Boş,,Kat İrtifakı,Hayır,,1,Genel Fiyat,15.500TL,İzmir - Buca - Atatürk Mahallesi,https://www.emlakjet.com/ilan/er-yapi-emlak-ofisinden-11-t-tepe-kampus-karsisi-klimali-kiralik-daire-17913452,,,,,41396,3,,,,,,,,,
17913194,19 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,76 m²,93 m²,3+1,21 Ve Üzeri,5.Kat,6,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,35.000TL,İzmir - Karşıyaka - Bahriye Üçok Mahallesi,https://www.emlakjet.com/ilan/bahriye-ucok-da-kiralik-31-daire-17913194,,,,,,,,,,,,,,,
17914666,19 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,100 m²,120 m²,3+1,5-10,1.Kat,4,Kombi Doğalgaz,Boş,,Kat İrtifakı,Hayır,,1,Genel Fiyat,30.000TL,İzmir - Foça - Mustafa Kemal Atatürk Mahallesi,https://www.emlakjet.com/ilan/turyap-tan-yenifoca-narezende-kiralik-daire-17914666,,,,,10724,8,,,,,,,,,
17914156,19 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,115 m²,126 m²,3+1,21 Ve Üzeri,7.Kat,7,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,37.000TL,İzmir - Gaziemir - Atıfbey Mahallesi,https://www.emlakjet.com/ilan/emin-den-kaykakamlik-yakini-otopark-asansorlu-daire-17914156,,,,,,,,,,,,,,,
17913379,19 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,120 m²,135 m²,3+1,21 Ve Üzeri,2.Kat,6,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,41.000TL,İzmir - Karabağlar - Basın Sitesi Mahallesi,https://www.emlakjet.com/ilan/basin-sitesi-nin-guzel-sokaginda-31-asansorlu-kiralik-daire-17913379,,,,,,,,,,,,,,,
17913158,19 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,110 m²,120 m²,2+1,21 Ve Üzeri,2.Kat,4,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,32.000TL,İzmir - Karşıyaka - Goncalar Mahallesi,https://www.emlakjet.com/ilan/karsiyaka-nergizde-esyali-kiralik-21-daire-17913158,,,,,,,,,,,,,,,
17913147,19 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,90 m²,100 m²,2+1,21 Ve Üzeri,2.Kat,5,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,30.000TL,İzmir - Karşıyaka - Bahariye Mahallesi,https://www.emlakjet.com/ilan/karsiyaka-zubeyde-hanim-caddesin-de-esyali-kiralik-17913147,,,,,,,,,,,,,,,
17912598,19 Ağustos 2025,23 Ağustos 2025,Konut,Kiralık,Daire,130 m²,135 m²,3+1,21 Ve Üzeri,2.Kat,3,Jeotermal,Boş,Boş,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,38.000TL,İzmir - Balçova - Teleferik Mahallesi,https://www.emlakjet.com/ilan/teleferik-mah-orman-manzarali-arakat-ful-yapili-31-jeotermalli-17912598,,,,,,,,,,,,,,,
17911962,19 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,90 m²,110 m²,2+1,5-10,2.Kat,5,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,24.000TL,İzmir - Tire - Adnan Menderes Mahallesi,https://www.emlakjet.com/ilan/tire-merkeze-yakin-esyali-dogalgazli-kiralik-daire-17911962,,,,,,,,,,,,,,,
17910899,18 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,100 m²,120 m²,3+1,21 Ve Üzeri,4.Kat,6,Kombi Doğalgaz,Boş,Boş,Kat İrtifakı,Hayır,Yok,2,Genel Fiyat,24.000TL,İzmir - Karabağlar - Doğanay Mahallesi,https://www.emlakjet.com/ilan/karabaglar-uluonder-cad-kiralik-31-yeni-mutfak-ferah-manzara-17910899,,,,,,,,,,,,,,,
17912203,19 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,43 m²,50 m²,1+1,5-10,Bahçe Katı,3,Klimalı,Boş,Eşyalı,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,22.000TL,İzmir - Foça - Mustafa Kemal Atatürk Mahallesi,https://www.emlakjet.com/ilan/yeni-focada-konforlu-ve-esyali-11-kiralik-daire-17912203,,,,,,,,,,,,,,,
17910432,18 Ağustos 2025,18 Ağustos 2025,Konut,Kiralık,Daire,80 m²,95 m²,2+1,21 Ve Üzeri,2.Kat,5,Klimalı,Boş,Boş,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,25.000TL,İzmir - Karşıyaka - Donanmacı Mahallesi,https://www.emlakjet.com/ilan/karsiyaka-donanmaci-da-kiralik-daire-17910432,400 TL,25000 TL,Var,2,326,125,İkinci El,Betonarme,Açık Balkon,,,1,,,Hayır
17912700,19 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,110 m²,150 m²,3+1,0 (Yeni),2.Kat,2,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,2,Genel Fiyat,74.000TL,İzmir - Urla - Güvendik Mahallesi,https://www.emlakjet.com/ilan/urla-cesmealti-kiralik-sifir-31-daire-17912700,,,,,,,,,,,,,,,
17912062,19 Ağustos 2025,23 Ağustos 2025,Konut,Kiralık,Daire,62 m²,70 m²,2+1,4,4.Kat,4,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,25.000TL,İzmir - Buca - Yaylacık Mahallesi,https://www.emlakjet.com/ilan/yaylacikta-full-esyali-daire-asansorlu-17912062,,,,,,,,,,,,,,,
17911073,18 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,50 m²,55 m²,1+1,5-10,3.Kat,3,Kombi Doğalgaz,Boş,Eşyalı,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,20.500TL,İzmir - Buca - Adatepe Mahallesi,https://www.emlakjet.com/ilan/layda-dan-buca-adatepede-11-esyali-kiralik-daire-17911073,,,,,,,,,,,,,,,
17913098,19 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,120 m²,125 m²,3+1,21 Ve Üzeri,4.Kat,5,Kombi Doğalgaz,Boş,,Kat İrtifakı,Hayır,,1,Genel Fiyat,25.000TL,İzmir - Karabağlar - Vatan Mahallesi,https://www.emlakjet.com/ilan/yesilyurt-ordu-cadde-uzeri-31dogalgazli-kiralik-daire-17913098,200 TL,25000 TL,,,2819,11,,,,,,,,,
17913073,19 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,135 m²,156 m²,3+1,5-10,7.Kat,9,Merkezi (Pay Ölçer),Boş,Eşyalı,Kat İrtifakı,Evet,Yok,2,Genel Fiyat,50.000TL,İzmir - Karşıyaka - Örnekköy Mahallesi,https://www.emlakjet.com/ilan/ornekkoyde-havuzlu-sitede-luks-esyali-kiralik-daire-17913073,,,,,,,,,,,,,,,
17913072,19 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,115 m²,129 m²,3+1,21 Ve Üzeri,5.Kat,7,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,37.500TL,İzmir - Karşıyaka - Yalı Mahallesi,https://www.emlakjet.com/ilan/semikler-yali-mavisehir-yakini-klasik-dogalgazli-31-daire-17913072,,,,,,,,,,,,,,,
17911387,18 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,110 m²,125 m²,3+1,21 Ve Üzeri,3.Kat,5,Kombi Doğalgaz,Boş,Eşyalı,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,35.000TL,İzmir - Bornova - Erzene Mahallesi,https://www.emlakjet.com/ilan/bornova-erzene-mahallesi-esyali-31-kiralik-daire-17911387,,,,,,,,,,,,,,,
17912642,19 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,200 m²,220 m²,3+1,5-10,2.Kat,4,Klimalı,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,10.000TL,İzmir - Buca - Atatürk Mahallesi,https://www.emlakjet.com/ilan/buca-ataturk-mah-fakulte-yakini-kiz-ogrenciye-kiralik-esyali-oda-17912642,,,,,,,,,,,,,,,
17911511,19 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,65 m²,78 m²,2+1,1,2.Kat,4,Kombi Doğalgaz,Boş,Boş,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,42.000TL,İzmir - Karşıyaka - Yalı Mahallesi,https://www.emlakjet.com/ilan/karsiyaka-yali-tramwaya-50m-mesafede-kiralik-21-daire-otoparkli-17911511,,,,,,,,,,,,,,,
17910317,18 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,72 m²,82 m²,2+1,4,4.Kat,7,Merkezi (Pay Ölçer),Boş,Boş,Kat İrtifakı,Evet,Yok,1,Genel Fiyat,39.500TL,İzmir - Bayraklı - Mansuroğlu Mahallesi,https://www.emlakjet.com/ilan/krokiden-modda-bayraklida-on-cephe-4-kat-kiralik-21-daire-17910317,,,,,,,,,,,,,,,
17911294,18 Ağustos 2025,24 Ağustos 2025,Konut,Kiralık,Daire,100 m²,105 m²,2+1,21 Ve Üzeri,3.Kat,3,Isıtma Yok,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,20.000TL,İzmir - Bayraklı - Mansuroğlu Mahallesi,https://www.emlakjet.com/ilan/bayrakli-da-21-kiralik-daire-17911294,,20000 TL,Var,1,52,341,İkinci El,Betonarme,Açık Balkon,5 m²,27 m²,2,3 m²,14 m²,Evet
17910992,18 Ağustos 2025,18 Ağustos 2025,Konut,Kiralık,Daire,100 m²,110 m²,2+1,21 Ve Üzeri,1.Kat,4,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,25.000TL,İzmir - Bayraklı - Osmangazi Mahallesi,https://www.emlakjet.com/ilan/bayrakli-osmangazi-21-kapali-mutfak-kiralik-daire-17910992,,,,,3008,16,,,,,,,,,
17913141,19 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,57 m²,62 m²,1+1,5-10,1.Kat,4,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,14.500TL,İzmir - Menemen - İnönü Mahallesi,https://www.emlakjet.com/ilan/seyrek-te-esyali-buyuk-tip-kiralik-11-daire-17913141,300 TL,,,,,,,,,,,,,,
17912941,19 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,60 m²,65 m²,1+1,4,2.Kat,3,Elektrikli Radyatör,Boş,Eşyalı,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,26.000TL,İzmir - Bornova - Mevlana Mahallesi,https://www.emlakjet.com/ilan/ege-universitesi-dibinde-esyali-kiralik-daire-17912941,200 TL,26000 TL,Yok,,22141,31,,,,,,1,,,
17912650,19 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,75 m²,85 m²,2+1,21 Ve Üzeri,Yüksek Giriş,4,Isıtma Yok,Boş,Boş,Müstakil Tapulu,Hayır,Yok,1,Genel Fiyat,15.000TL,İzmir - Bayraklı - Muhittin Erener Mahallesi,https://www.emlakjet.com/ilan/nur-gayrimenkul-m-erener-mah-100-yil-yakini-21-kiralik-daire-17912650,,,,,,,,,,,,,,,
17911598,19 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,40 m²,50 m²,1+1,0 (Yeni),2.Kat,2,Kombi Doğalgaz,Boş,Boş,Kooperatiften Tapu,Hayır,Yok,1,Genel Fiyat,45.000TL,İzmir - Bornova - Kazımdirik Mahallesi,https://www.emlakjet.com/ilan/artenew-den-sifir-muthis-lokasyonda-dogalgaz-li-kiralik-daire-17911598,,,,,,,,,,,,,,,
17910319,18 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,42 m²,55 m²,1+1,4,5.Kat,8,Merkezi (Pay Ölçer),Boş,Eşyalı,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,38.500TL,İzmir - Bornova - Kazımdirik Mahallesi,https://www.emlakjet.com/ilan/krokiden-folkart-incityde-full-luks-esyali-bos-kiralik-daire-17910319,,,,,,,,,,,,,,,
17910900,18 Ağustos 2025,23 Ağustos 2025,Konut,Kiralık,Daire,100 m²,110 m²,3+1,16-20,Düz Giriş (Zemin),4,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,18.000TL,İzmir - Karabağlar - Ali Fuat Cebesoy Mahallesi,https://www.emlakjet.com/ilan/turpa-emlaktan-kiralik-31-17910900,,,,,,,,,,,,,,,
17910722,18 Ağustos 2025,23 Ağustos 2025,Konut,Kiralık,Daire,45 m²,60 m²,1+1,5-10,9.Kat,19,Merkezi (Pay Ölçer),Boş,Boş,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,29.000TL,İzmir - Karşıyaka - Bahçelievler Mahallesi,https://www.emlakjet.com/ilan/karsiyaka-tower-rezidans-ta-kiralik-11-daire-ofis-17910722,,,,,,,,,,,,,,,
17909973,18 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,120 m²,125 m²,3+1,5-10,4.Kat,7,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,17.000TL,İzmir - Torbalı - Yazıbaşı Mahallesi,https://www.emlakjet.com/ilan/ayrancilar-yazibasi-toki-konutlarinda-kiralik-31-daire-17909973,1000 TL,17000 TL,Var,1,264,7,İkinci El,Betonarme,,,,2,,,Hayır
17911078,18 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,99 m²,100 m²,3+1,21 Ve Üzeri,6.Kat,7,Isıtma Yok,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,20.000TL,İzmir - Bayraklı - Osmangazi Mahallesi,https://www.emlakjet.com/ilan/bayrakli-osmangazi-de-31-kiralik-daire-once-emlak-tan-17911078,200 TL,20000 TL,Var,2,3995,2,,Betonarme,Açık Balkon,,,,,,
17911386,18 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,85 m²,95 m²,2+1,21 Ve Üzeri,Düz Giriş (Zemin),5,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,24.000TL,İzmir - Karabağlar - Basın Sitesi Mahallesi,https://www.emlakjet.com/ilan/hatay-metro-istasyonu-yakininda-kiralik-daire-17911386,,,,,,,,,,,,,,,
17911733,19 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,100 m²,110 m²,3+1,21 Ve Üzeri,Yüksek Giriş,3,Kombi Doğalgaz,Boş,Boş,Müstakil Tapulu,Hayır,Yok,1,Genel Fiyat,20.000TL,İzmir - Buca - Barış Mahallesi,https://www.emlakjet.com/ilan/ekinci-emlak-buca-emniyet-mudurlugu-yakini-31-y-zemin-17911733,,,,,,,,,,,,,,,
