İlan Numarası,İlan Oluşturma Tarihi,İlan Güncelleme Tarihi,Türü,Kategorisi,Tipi,Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Tapu Durumu,Site İçerisinde,Banyo Sayısı,Balkon Durumu,Balkon Sayısı,Balkon Tipi,WC Sayısı,Fiyat Durumu,fiyat,konum,URL,Ada,Parsel,Yapı Durumu,Eşya Durumu,Takas,Yapı Tipi,Aidat,Depozito,Görüntülü Gezilebilir mi?,Banyo Metrekare,Balkon Metrekare,Salon Metrekare,WC Metrekare
17747582,31 Temmuz 2025,23 Ağustos 2025,Konut,Kiralık,Daire,70 m²,90 m²,2+1,16-20,2.Kat,4,Klimalı,Boş,Yabancıdan,Hayır,1,,,,,Genel Fiyat,12.000TL,Adana - Seyhan - Yeşilyurt Mahallesi,https://www.emlakjet.com/ilan/seyhan-yesilyurt-duygu-kafeye-yurume-mesafesinde-21-esyali-kiralik-daire-17747582,,,,,,,,12000 TL,,,,,
17745057,31 Temmuz 2025,20 Ağustos 2025,Konut,Kiralık,Daire,90 m²,100 m²,2+1,11-15,3.Kat,6,Klimalı,Boş,Kat Mülkiyeti,Evet,1,Var,1,Açık Balkon,2,Genel Fiyat,11.000TL,Adana - Sarıçam - Osmangazi Mahallesi,https://www.emlakjet.com/ilan/osmangazi-tokilerde-21-kiralik-daire-enerjisi-ve-klimasi-uzerinde-17745057,720,1,İkinci El,Boş,Yok,Betonarme,150 TL,10000 TL,Evet,,,,
17746348,31 Temmuz 2025,31 Temmuz 2025,Konut,Kiralık,Daire,145 m²,150 m²,3+1,5-10,5.Kat,6,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,,,,,Genel Fiyat,17.500TL,Adana - Ceyhan - Burhaniye Mahallesi,https://www.emlakjet.com/ilan/umut-balta-gayrimenkul-den-burhaniye-mah-kiralik-daire-31-17746348,,,,Boş,Yok,,,,,,,,
17750535,01 Ağustos 2025,01 Ağustos 2025,Konut,Kiralık,Daire,90 m²,110 m²,2+1,5-10,Düz Giriş (Zemin),4,Isıtma Yok,Boş,Kat Mülkiyeti,Evet,2,Yok,,,,Genel Fiyat,80.000TL,Adana - Sarıçam - Göztepe Mahallesi,https://www.emlakjet.com/ilan/goztepe-21-kiralik-17750535,13024,20,,Boş,,,250 TL,,,,,,
17748841,01 Ağustos 2025,04 Ağustos 2025,Konut,Kiralık,Daire,110 m²,130 m²,2+1,5-10,3.Kat,13,Merkezi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,2,Var,2,"Açık Balkon, Fransız Balkon",2,Genel Fiyat,50.000TL,Adana - Seyhan - Mithatpaşa Mahallesi,https://www.emlakjet.com/ilan/esyali-kiralik-ziyapasa-blv-yakin-guvenlikli-21-cift-banyolu-luks-daire-17748841,1207,226,İkinci El,Eşyalı,,Betonarme,2600 TL,50000 TL,Hayır,,,,
17745377,31 Temmuz 2025,23 Ağustos 2025,Konut,Kiralık,Daire,35 m²,40 m²,Stüdyo,11-15,2.Kat,4,Klimalı,Boş,Yabancıdan,Hayır,1,Yok,,,,Genel Fiyat,12.000TL,Adana - Çukurova - Mahfesığmaz Mahallesi,https://www.emlakjet.com/ilan/mafasigmaz-10-esyali-kiralik-17745377,,,,,,,,,,,,,
17747589,31 Temmuz 2025,23 Ağustos 2025,Konut,Kiralık,Daire,45 m²,70 m²,1+1,11-15,Yüksek Giriş,4,Klimalı,Boş,Tapu Kaydı Yok,Hayır,1,,,,,Genel Fiyat,11.000TL,Adana - Seyhan - Yeşilyurt Mahallesi,https://www.emlakjet.com/ilan/seyhan-yesilyurt-duygu-kafeye-yurume-mesafesinde-11-esyali-kiralik-daire-17747589,,,,,,,,11000 TL,,,,,
17746346,31 Temmuz 2025,31 Temmuz 2025,Konut,Kiralık,Daire,45 m²,55 m²,1+1,1,4.Kat,5,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,,,,,Genel Fiyat,22.000TL,Adana - Çukurova - Beyazevler Mahallesi,https://www.emlakjet.com/ilan/beyazevler-de-yalcin-park-civari-11-esyali-kiralik-daireler-17746346,,,,Eşyalı,Yok,,,,,,,,
17749640,01 Ağustos 2025,01 Ağustos 2025,Konut,Kiralık,Daire,50 m²,65 m²,1+1,4,Düz Giriş (Zemin),10,Klimalı,Boş,Kat Mülkiyeti,Hayır,1,,,,,Genel Fiyat,13.000TL,Adana - Sarıçam - Gültepe Mahallesi,https://www.emlakjet.com/ilan/saricam-universiteye-cok-yakin-ogrenciye-uygun-esyali-kiralik-17749640,,,,Eşyalı,Yok,,,,,,,,
17739883,30 Temmuz 2025,31 Temmuz 2025,Konut,Kiralık,Daire,110 m²,135 m²,3+1,0 (Yeni),3.Kat,4,Merkezi (Pay Ölçer),Boş,Kat Mülkiyeti,Evet,1,,,,,Genel Fiyat,15.500TL,Adana - Çukurova - Şambayadı Mahallesi,https://www.emlakjet.com/ilan/sambayadi-2-etap-toki-de-sifir-31-k-mutfak-d-gazli-3-kat-daire-17739883,,,,Boş,Yok,,,,,,,,
17749637,01 Ağustos 2025,01 Ağustos 2025,Konut,Kiralık,Daire,52 m²,96 m²,2+1,3,12.Kat,13,Klimalı,Boş,Kat Mülkiyeti,Hayır,2,,,,,Genel Fiyat,118.000TL,Adana - Sarıçam - Mehmet Akif Ersoy Mahallesi,https://www.emlakjet.com/ilan/m-akif-ersoyda-okul-karsisi-k-mutfak-21-memura-aileye-uygun-17749637,,,,Boş,Yok,,,,,,,,
17742557,31 Temmuz 2025,31 Temmuz 2025,Konut,Kiralık,Daire,85 m²,90 m²,2+1,3,2.Kat,8,Isıtma Yok,Boş,Kat Mülkiyeti,Hayır,2,,,,,Genel Fiyat,35.000TL,Adana - Seyhan - Kurtuluş Mahallesi,https://www.emlakjet.com/ilan/gorgun-den-kurtulus-ta-yeni-binada-21-90m2-gkd-kiralik-daire-17742557,,,,,Yok,,,,,,,,
17746797,31 Temmuz 2025,20 Ağustos 2025,Konut,Kiralık,Daire,160 m²,180 m²,3+1,2,12.Kat,20,Kombi Doğalgaz,Boş,Tapu Kaydı Yok,Hayır,2,Var,,,3,Genel Fiyat,32.000TL,Adana - Çukurova - Huzurevleri Mahallesi,https://www.emlakjet.com/ilan/mavi-bulvar-da-full-ekstrali-41-luks-yasam-sizi-bekliyor-17746797,,,İkinci El,Boş,Yok,Betonarme,,,Evet,,,,
17729686,29 Temmuz 2025,29 Temmuz 2025,Konut,Kiralık,Daire,75 m²,90 m²,2+1,5-10,6.Kat,11,Klimalı,Boş,Tapu Kaydı Yok,Evet,1,,,,,Genel Fiyat,220.000TL,Adana - Çukurova - Belediye Evleri Mahallesi,https://www.emlakjet.com/ilan/ogretmenler-bulvari-ustunde-luks-sitede-21-acik-mutfak-kiralik-daire-17729686,,,,,,,,,,,,,
17734550,30 Temmuz 2025,18 Ağustos 2025,Konut,Kiralık,Daire,35 m²,45 m²,1+1,11-15,1.Kat,4,Klimalı,Boş,Yabancıdan,Hayır,1,,,,,Birim Fiyat,12.000TL,Adana - Seyhan - Sümer Mahallesi,https://www.emlakjet.com/ilan/baraj-yolu-da-kiralik-esyali-daire-11-17734550,,,,Eşyalı,,,,,,,,,
17730509,29 Temmuz 2025,18 Ağustos 2025,Konut,Kiralık,Daire,40 m²,45 m²,Stüdyo,11-15,2.Kat,3,Klimalı,Boş,Yabancıdan,Hayır,1,Var,,,,Birim Fiyat,8.000TL,Adana - Çukurova - Beyazevler Mahallesi,https://www.emlakjet.com/ilan/beyaz-evler-mahallesi-esyali-daire-10-17730509,,,,Eşyalı,,,,,,,,,
17734828,30 Temmuz 2025,30 Temmuz 2025,Konut,Kiralık,Daire,50 m²,65 m²,1+1,11-15,4.Kat,4,Klimalı,Boş,Yabancıdan,Evet,1,Var,1,Açık Balkon,,Genel Fiyat,13.500TL,Adana - Seyhan - Sümer Mahallesi,https://www.emlakjet.com/ilan/barajyolu-duygu-cafe-civari-balkonlu-ful-esyali-17734828,,,,Eşyalı,,,,,,10 m²,12 m²,,
17731729,29 Temmuz 2025,20 Ağustos 2025,Konut,Kiralık,Daire,80 m²,95 m²,2+1,5-10,6.Kat,11,Klimalı,Boş,Tapu Kaydı Yok,Evet,1,Var,,,,Genel Fiyat,220.000TL,Adana - Çukurova - Belediye Evleri Mahallesi,https://www.emlakjet.com/ilan/belediye-evleri-nde-bulvar-cepheli-luks-21-sifir-ankastreli-firsat-daire-17731729,,,İkinci El,Boş,Yok,Betonarme,250 TL,20000 TL,Evet,,,,
17736500,30 Temmuz 2025,30 Temmuz 2025,Konut,Kiralık,Daire,40 m²,50 m²,1+1,2,7.Kat,12,Klimalı,Boş,Kat İrtifakı,Evet,1,,,,,Genel Fiyat,15.000TL,Adana - Sarıçam - Çarkıpare Mahallesi,https://www.emlakjet.com/ilan/pusula-dan-soulmate-yani-sifir-esyali-11-kiralik-daire-17736500,,,,Eşyalı,Yok,,,,,,,,
17729814,29 Temmuz 2025,29 Temmuz 2025,Konut,Kiralık,Daire,90 m²,100 m²,2+1,5-10,Yüksek Giriş,5,Klimalı,Boş,Tapu Kaydı Yok,Hayır,1,,,,,Genel Fiyat,180.000TL,Adana - Çukurova - Yüzüncüyıl Mahallesi,https://www.emlakjet.com/ilan/yuzuncu-yil-da-az-katli-binada-ferah-21-kiralik-daire-90-m-net-17729814,,,,,,,,,,,,,
17733704,30 Temmuz 2025,05 Ağustos 2025,Konut,Kiralık,Daire,50 m²,75 m²,1+1,2,Bodrum Kat,13,Klimalı,Boş,Tapu Kaydı Yok,Hayır,1,,,,,Genel Fiyat,14.000TL,Adana - Seyhan - Yenibaraj Mahallesi,https://www.emlakjet.com/ilan/seyhan-baraj-yolu-11-esyali-kiralik-daire-17733704,,,,,,,,14000 TL,,,,,
17734101,30 Temmuz 2025,23 Ağustos 2025,Konut,Kiralık,Daire,28 m²,45 m²,Stüdyo,11-15,2.Kat,4,Klimalı,Boş,Yabancıdan,Hayır,1,,,,,Genel Fiyat,8.000TL,Adana - Çukurova - Beyazevler Mahallesi,https://www.emlakjet.com/ilan/cukurova-beyazevler-10-esyali-kiralik-daire-17734101,,,,,,,,8000 TL,,,,,
17731764,29 Temmuz 2025,29 Temmuz 2025,Konut,Kiralık,Daire,130 m²,165 m²,3+1,1,7.Kat,9,Kombi Doğalgaz,Boş,Kat İrtifakı,Hayır,2,Var,2,Açık Balkon,2,Genel Fiyat,40.000TL,Adana - Seyhan - Gürselpaşa Mahallesi,https://www.emlakjet.com/ilan/g-pasada-sifir-kapali-mutfak-31-daire-17731764,10320,3,Sıfır,Boş,Yok,Betonarme,4000 TL,,Hayır,5 m²,5 m²,,5 m²
17731412,29 Temmuz 2025,23 Ağustos 2025,Konut,Kiralık,Daire,40 m²,50 m²,1+1,4,14.Kat,14,Klimalı,Boş,Kat İrtifakı,Hayır,1,Var,1,Kapalı Balkon,1,Genel Fiyat,12.750TL,Adana - Sarıçam - Çarkıpare Mahallesi,https://www.emlakjet.com/ilan/carkiparede-stadyum-yani-11-esyali-kacmaz-fiyata-kiralik-daire-17731412,732,7,Sıfır,Eşyalı,Yok,Betonarme,,12500 TL,Evet,,,,
17729785,29 Temmuz 2025,29 Temmuz 2025,Konut,Kiralık,Daire,150 m²,170 m²,3+1,5-10,15.Kat,15,Merkezi (Pay Ölçer),Boş,Tapu Kaydı Yok,Evet,1,,,,,Genel Fiyat,25.500TL,Adana - Seyhan - Pınar Mahallesi,https://www.emlakjet.com/ilan/pinar-mahallesi-nde-luks-site-icinde-31-manzarali-kiralik-daire-15-katta-genis-ve-ferah-yasam-17729785,,,,,,,,,,,,,
17737378,30 Temmuz 2025,30 Temmuz 2025,Konut,Kiralık,Daire,70 m²,88 m²,2+1,0 (Yeni),1.Kat,9,Kombi Doğalgaz,Boş,Müstakil Tapulu,Evet,2,,,,,Genel Fiyat,18.000TL,Adana - Çukurova - Esentepe Mahallesi,https://www.emlakjet.com/ilan/esentepe-de-sosyal-donatili-guvenlikli-21-a-mtfk-kiralik-daire-17737378,,,,Boş,Yok,,,,,,,,
17731763,29 Temmuz 2025,29 Temmuz 2025,Konut,Kiralık,Daire,50 m²,60 m²,1+1,4,1.Kat,11,Klimalı,Boş,Kat Mülkiyeti,Hayır,1,,,,,Genel Fiyat,10.000TL,Adana - Sarıçam - Gültepe Mahallesi,https://www.emlakjet.com/ilan/adana-saricam-gultepe-de-bulvara-2-parsel-de-esyali-kiralik-17731763,,,,Eşyalı,Yok,,,,,,,,
17729594,29 Temmuz 2025,30 Temmuz 2025,Konut,Kiralık,Daire,50 m²,60 m²,1+1,5-10,3.Kat,7,Klimalı,Boş,Kat İrtifakı,Hayır,1,,,,,Genel Fiyat,19.000TL,Adana - Çukurova - Toros Mahallesi,https://www.emlakjet.com/ilan/toros-mahallesi-avrupa-hastanesi-yan1-11-esyali-aire-17729594,5695,12,,,,,,,,,,,
17731706,29 Temmuz 2025,20 Ağustos 2025,Konut,Kiralık,Daire,90 m²,100 m²,2+1,5-10,Yüksek Giriş,5,Kombi Doğalgaz,Boş,Tapu Kaydı Yok,Hayır,1,Var,,,2,Genel Fiyat,180.000TL,Adana - Çukurova - Yüzüncüyıl Mahallesi,https://www.emlakjet.com/ilan/yuzuncu-yil-da-sik-ve-konforlu-21-kiralik-daire-kacirilmayacak-firsat-17731706,,,İkinci El,Boş,Yok,Betonarme,300 TL,,Evet,,,,
17735990,30 Temmuz 2025,30 Temmuz 2025,Konut,Kiralık,Daire,75 m²,80 m²,2+1,0 (Yeni),11.Kat,14,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,2,,,,,Genel Fiyat,15.000TL,Adana - Sarıçam - Gültepe Mahallesi,https://www.emlakjet.com/ilan/saricam-gultepe-luks-sifir-21-kiralik-17735990,,,,Boş,Yok,,,,,,,,
17735987,30 Temmuz 2025,30 Temmuz 2025,Konut,Kiralık,Daire,146 m²,150 m²,3+1,5-10,3.Kat,4,Klimalı,Boş,Müstakil Tapulu,Hayır,1,,,,,Genel Fiyat,15.000TL,Adana - Sarıçam - Mehmet Akif Ersoy Mahallesi,https://www.emlakjet.com/ilan/mehmet-akif-ersoy-kiralik-mustakil-31-21-17735987,,,,Boş,Yok,,,,,,,,
17736504,30 Temmuz 2025,30 Temmuz 2025,Konut,Kiralık,Daire,45 m²,60 m²,1+1,4,2.Kat,12,Klimalı,Kiracı Oturuyor,Kat İrtifakı,Hayır,1,,,,,Genel Fiyat,11.999TL,Adana - Sarıçam - Gültepe Mahallesi,https://www.emlakjet.com/ilan/bulvar-uzeri-kiralik-11-full-esyali-17736504,,,,Eşyalı,Yok,,,,,,,,
17729600,29 Temmuz 2025,29 Temmuz 2025,Konut,Kiralık,Daire,100 m²,110 m²,2+1,11-15,1.Kat,7,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Evet,1,,,,,Genel Fiyat,18.500TL,Adana - Yüreğir - Atakent Mahallesi,https://www.emlakjet.com/ilan/celebi-den-atakent-polis-okulu-toki-de-dgalgazli-17729600,4733,12,,,,,,,,,,,
17735955,30 Temmuz 2025,18 Ağustos 2025,Konut,Kiralık,Daire,35 m²,45 m²,1+1,16-20,1.Kat,3,Klimalı,Boş,Yabancıdan,Hayır,1,,,,,Birim Fiyat,12.000TL,Adana - Seyhan - Sümer Mahallesi,https://www.emlakjet.com/ilan/baraj-yolu-civari-kiralik-esyali-11-17735955,,,,Eşyalı,,,,,,,,,
17734125,30 Temmuz 2025,13 Ağustos 2025,Konut,Kiralık,Daire,110 m²,140 m²,2+1,5-10,13.Kat,13,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,2,Var,1,,2,Genel Fiyat,23.000TL,Adana - Çukurova - Yüzüncüyıl Mahallesi,https://www.emlakjet.com/ilan/yuzuncuyilda-21-kapali-mutfak-kiralik-17734125,7722,21,İkinci El,Boş,,Betonarme,,,,,,,
17735834,30 Temmuz 2025,30 Temmuz 2025,Konut,Kiralık,Daire,140 m²,180 m²,3+1,11-15,2.Kat,3,Güneş Enerjisi,Boş,Tapu Kaydı Yok,Hayır,1,,,,,Genel Fiyat,18.000TL,Adana - Seyhan - Fatih Mahallesi,https://www.emlakjet.com/ilan/turkmenbasi-bulvarina-yakin-bahceli-genis-oturumlu-mustakil-17735834,,,,,,,,,,,,,
17732914,30 Temmuz 2025,06 Ağustos 2025,Konut,Kiralık,Daire,120 m²,135 m²,2.5+1,5-10,5.Kat,12,Klimalı,Boş,Kat İrtifakı,Hayır,2,,,,,Genel Fiyat,270.000TL,Adana - Seyhan - Gürselpaşa Mahallesi,https://www.emlakjet.com/ilan/saglam-dan-gurselpasa-da-kiralik-site-icerisinde-2-51-daire-17732914,,,,Boş,Yok,,,,,,,,
17734574,30 Temmuz 2025,18 Ağustos 2025,Konut,Kiralık,Daire,40 m²,45 m²,1+1,11-15,1.Kat,4,Klimalı,Boş,Yabancıdan,Hayır,1,,,,,Birim Fiyat,14.000TL,Adana - Seyhan - Sümer Mahallesi,https://www.emlakjet.com/ilan/baraj-yolu-da-kiralik-esyali-daire-genis-oturumlu-11-17734574,,,,Eşyalı,,,,,,,,,
17735983,30 Temmuz 2025,30 Temmuz 2025,Konut,Kiralık,Daire,85 m²,95 m²,2+1,5-10,7.Kat,13,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Evet,2,,,,,Genel Fiyat,19.900TL,Adana - Yüreğir - Atakent Mahallesi,https://www.emlakjet.com/ilan/polis-okulu-arkasi-k-mutfak-kiralik-21-17735983,,,,Boş,Yok,,,,,,,,
17735188,30 Temmuz 2025,23 Ağustos 2025,Konut,Kiralık,Daire,35 m²,40 m²,Stüdyo,4,2.Kat,4,Klimalı,Boş,Yabancıdan,Hayır,1,Yok,,,,Genel Fiyat,9.000TL,Adana - Çukurova - Beyazevler Mahallesi,https://www.emlakjet.com/ilan/beyaz-evler-10-esyali-17735188,,,,,,,,,,,,,
17737373,30 Temmuz 2025,30 Temmuz 2025,Konut,Kiralık,Daire,65 m²,70 m²,2+1,11-15,2.Kat,12,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,,,,,Genel Fiyat,22.000TL,Adana - Seyhan - Yenibaraj Mahallesi,https://www.emlakjet.com/ilan/baraj-yolunda-kiralik-21-acik-mutfak-daire-17737373,,,,Boş,Yok,,,,,,,,
17736433,30 Temmuz 2025,30 Temmuz 2025,Konut,Kiralık,Daire,130 m²,170 m²,3+1,16-20,4.Kat,11,Klimalı,Boş,Kat Mülkiyeti,Evet,1,,,,,Genel Fiyat,19.000TL,Adana - Çukurova - Huzurevleri Mahallesi,https://www.emlakjet.com/ilan/turgut-ozal-hasan-usta-veternerlik-yaninda-31kap-mutfakli-genis-17736433,,,,,Yok,,,,,,,,
17737411,30 Temmuz 2025,04 Ağustos 2025,Konut,Kiralık,Daire,45 m²,55 m²,1+1,0 (Yeni),5.Kat,12,Isıtma Yok,Boş,Kat Mülkiyeti,Hayır,1,,,,,Genel Fiyat,8.000TL,Adana - Sarıçam - Boynuyoğun Mahallesi,https://www.emlakjet.com/ilan/saricam-gultepede-balkonlu-esyasiz-kiralik-11-daire-17737411,732,1,,Boş,Yok,,,,,,,,
17726868,28 Temmuz 2025,06 Ağustos 2025,Konut,Kiralık,Daire,150 m²,170 m²,3+1,5-10,Yüksek Giriş,2,Klimalı,Boş,Arsa Tapulu,Hayır,1,,,,,Genel Fiyat,130.000TL,Adana - Seyhan - Söğütlü Mahallesi,https://www.emlakjet.com/ilan/saglam-dan-kucuk-dikilide-31-ultra-genis-bahceli-kiralik-temiz-daire-17726868,3237,14,,,,,,,,,,,
17720398,27 Temmuz 2025,16 Ağustos 2025,Konut,Kiralık,Daire,130 m²,170 m²,3+1,0 (Yeni),1.Kat,3,Merkezi (Pay Ölçer),Boş,Kat Mülkiyeti,Evet,1,,,,,Genel Fiyat,15.500TL,Adana - Çukurova - Şambayadı Mahallesi,https://www.emlakjet.com/ilan/toki-3-etap-2b-03-blokta-31-k-mutfak-kiler-1-kat-kacmaz-daire-17720398,,,,Boş,Yok,,,,,,,,
17718808,26 Temmuz 2025,26 Temmuz 2025,Konut,Kiralık,Daire,75 m²,90 m²,2+1,5-10,3.Kat,7,Kombi Doğalgaz,Boş,Kat İrtifakı,Hayır,1,,,,,Birim Fiyat,21.000TL,Adana - Seyhan - Gürselpaşa Mahallesi,https://www.emlakjet.com/ilan/gurselpasa-da-7katli-binada-3-kat-genis-21-acik-mutfak-kiralik-daire-17718808,10682,10,,,,,,,,,,,
17716852,26 Temmuz 2025,26 Temmuz 2025,Konut,Kiralık,Daire,45 m²,60 m²,1+1,3,7.Kat,12,Klimalı,Boş,Kat İrtifakı,Hayır,1,,,,,Genel Fiyat,8.250TL,Adana - Sarıçam - Gültepe Mahallesi,https://www.emlakjet.com/ilan/saricam-gultepe-bulvar-uzeri-genis-oturumlu-11-kiralik-daire-17716852,,,,Boş,Yok,,,,,,,,
17727842,29 Temmuz 2025,29 Temmuz 2025,Konut,Kiralık,Daire,58 m²,60 m²,1+1,4,1.Kat,12,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,,,,,Genel Fiyat,25.000TL,Adana - Seyhan - Gürselpaşa Mahallesi,https://www.emlakjet.com/ilan/gurselpasa-mahallesi-ogretmeneler-bul-ultra-luks-sitede-esyali-11-daire-17727842,10301,3,,,,,,,,,,,
17716894,26 Temmuz 2025,26 Temmuz 2025,Konut,Kiralık,Daire,90 m²,120 m²,2+1,5-10,13.Kat,14,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,2,,,,,Genel Fiyat,15.000TL,Adana - Sarıçam - Çarkıpare Mahallesi,https://www.emlakjet.com/ilan/carkipare-21-genis-kose-daire-dogal-gaz-jenarator-kiralik-17716894,,,,Boş,Yok,,,,,,,,
17728415,29 Temmuz 2025,18 Ağustos 2025,Konut,Kiralık,Daire,40 m²,50 m²,1+1,1,9.Kat,12,Klimalı,Boş,Kat Mülkiyeti,Hayır,1,,,,,Genel Fiyat,15.000TL,Adana - Sarıçam - Çarkıpare Mahallesi,https://www.emlakjet.com/ilan/saricam-cilgin-avm-yani-11-esyali-kiralik-daire-17728415,,,,Eşyalı,Yok,,,,,,,,
17723903,28 Temmuz 2025,18 Ağustos 2025,Konut,Kiralık,Daire,45 m²,50 m²,1+1,11-15,Yüksek Giriş,3,Klimalı,Boş,Yabancıdan,Hayır,1,Yok,,,,Birim Fiyat,13.000TL,Adana - Seyhan - Yeşilyurt Mahallesi,https://www.emlakjet.com/ilan/baraj-yolu-civari-esyali-daire-11-17723903,,,,Eşyalı,,,,,,,,,
17719243,26 Temmuz 2025,20 Ağustos 2025,Konut,Kiralık,Daire,150 m²,170 m²,3+1,11-15,2.Kat,10,Kombi Doğalgaz,Boş,Tapu Kaydı Yok,Hayır,1,Var,,,2,Genel Fiyat,290.000TL,Adana - Çukurova - Yurt Mahallesi,https://www.emlakjet.com/ilan/yurt-mah-merkezde-31-kiralik-daire-konforlu-sik-ve-kullanisli-17719243,,,İkinci El,Boş,Yok,Betonarme,,,Evet,,,,
17726335,28 Temmuz 2025,28 Temmuz 2025,Konut,Kiralık,Daire,60 m²,65 m²,1.5+1,5-10,1.Kat,12,Klimalı,Boş,Kat Mülkiyeti,Hayır,1,,,,,Genel Fiyat,21.000TL,Adana - Çukurova - Toros Mahallesi,https://www.emlakjet.com/ilan/k-evren-bulvarina-3-apartman-esyali-kap-mutfak-yeni-bina-hasariz-17726335,6399,10,,,,,,,,,,,
17722379,27 Temmuz 2025,27 Temmuz 2025,Konut,Kiralık,Daire,90 m²,100 m²,2+1,5-10,11.Kat,13,Kombi Doğalgaz,Boş,Tapu Kaydı Yok,Hayır,2,Var,2,Açık Balkon,2,Genel Fiyat,22.000TL,Adana - Seyhan - 2000 Evler Mahallesi,https://www.emlakjet.com/ilan/kiralik-21-daire-7-24-guvenlikli-kapali-otoparkli-sitede-17722379,,,,Boş,,,900 TL,,,,,,
17724010,28 Temmuz 2025,16 Ağustos 2025,Konut,Kiralık,Daire,120 m²,160 m²,3+1,11-15,12.Kat,12,Isıtma Yok,Boş,Kat Mülkiyeti,Evet,2,,,,,Genel Fiyat,20.000TL,Adana - Seyhan - Pınar Mahallesi,https://www.emlakjet.com/ilan/pinarda-site-icinde-full-cephe-temiz-demir-sebekeli-17724010,,,,Boş,Yok,,,,,,,,
17716896,26 Temmuz 2025,26 Temmuz 2025,Konut,Kiralık,Daire,55 m²,70 m²,2+1,0 (Yeni),7.Kat,8,Klimalı,Boş,Kat Mülkiyeti,Hayır,1,,,,,Genel Fiyat,135.000TL,Adana - Sarıçam - Boynuyoğun Mahallesi,https://www.emlakjet.com/ilan/saricam-boynuyogun-21-kiralik-17716896,,,,Boş,Yok,,,,,,,,
17719852,26 Temmuz 2025,26 Temmuz 2025,Konut,Kiralık,Daire,90 m²,120 m²,3+1,4,5.Kat,8,Isıtma Yok,Boş,Kat İrtifakı,Hayır,2,,,,,Genel Fiyat,135.000TL,Adana - Sarıçam - Orhangazi Mahallesi,https://www.emlakjet.com/ilan/atici-dan-kiralik-orhangazi-mah-ata-i-o-o-yakininda-31-k-m-17719852,,,,Boş,Yok,,,,,,,,
17716892,26 Temmuz 2025,26 Temmuz 2025,Konut,Kiralık,Daire,90 m²,100 m²,2+1,5-10,8.Kat,11,Klimalı,Boş,Kat Mülkiyeti,Hayır,2,,,,,Genel Fiyat,11.500TL,Adana - Sarıçam - Boynuyoğun Mahallesi,https://www.emlakjet.com/ilan/saricam-boynuyogun-mh-21-kiralik-daire-17716892,,,,Boş,Yok,,,,,,,,
17722517,27 Temmuz 2025,16 Ağustos 2025,Konut,Kiralık,Daire,150 m²,170 m²,3+1,21 Ve Üzeri,8.Kat,13,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Evet,2,,,,,Genel Fiyat,255.000TL,Adana - Çukurova - Huzurevleri Mahallesi,https://www.emlakjet.com/ilan/huzurevlerinde-31-k-m-daire-17722517,,,,Boş,Yok,,,,,,,,
17729503,29 Temmuz 2025,20 Ağustos 2025,Konut,Kiralık,Daire,180 m²,250 m²,4+1,2,15.Kat,15,Kombi Doğalgaz,Boş,Tapu Kaydı Yok,Evet,2,Var,,,3,Genel Fiyat,490.000TL,Adana - Seyhan - Gürselpaşa Mahallesi,https://www.emlakjet.com/ilan/konforun-zirvesi-gurselpasa-da-41-site-ici-kiralik-luks-daire-17729503,,,İkinci El,Boş,Yok,Betonarme,,,Evet,,,,
17720852,27 Temmuz 2025,20 Ağustos 2025,Konut,Kiralık,Daire,90 m²,100 m²,2+1,16-20,8.Kat,8,Klimalı,Boş,Tapu Kaydı Yok,Hayır,1,Var,,,2,Genel Fiyat,25.000TL,Adana - Seyhan - Yenibaraj Mahallesi,https://www.emlakjet.com/ilan/yenibaraj-bogalar-avm-civarinda-fullfull-esyali-21-kiralik-daire-17720852,,,İkinci El,Eşyalı,Yok,Betonarme,200 TL,25000 TL,Evet,,,,
17726724,28 Temmuz 2025,23 Ağustos 2025,Konut,Kiralık,Daire,80 m²,85 m²,2+1,16-20,1.Kat,2,Isıtma Yok,Boş,Yabancıdan,Hayır,1,Yok,,,,Genel Fiyat,9.500TL,Adana - Yüreğir - Kazım Karabekir Mahallesi,https://www.emlakjet.com/ilan/yeni-adliye-civari-21-kapali-mutfak-17726724,,,,,,,,,,,,,
