İlan Numarası,İlan Oluşturma Tarihi,İlan Güncelleme Tarihi,Türü,Kategorisi,Tipi,Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Yapı Durumu,Yapı Tipi,Aidat,Tapu Durumu,Site İçerisinde,Takas,Banyo Sayısı,Fiyat Durumu,fiyat,konum,URL,Depozito,Ada,Parsel,Eşya Durumu,Balkon Durumu,Balkon Sayısı,WC Sayısı,Görüntülü Gezilebilir mi?,Balkon Tipi,Salon Metrekare,WC Metrekare,Banyo Metrekare,Balkon Metrekare
17879749,15 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,145 m²,160 m²,4+1,11-15,2.Kat,8,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,120.000TL,Antalya - Konyaaltı - Gürsu Mahallesi,https://www.emlakjet.com/ilan/gursu-41-luks-esyali-denize-30m-denize-manzarali-dogalgazli-17879749,,,,Eşyalı,,,,,,,,,
17878013,15 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,125 m²,130 m²,3+1,5-10,3.Kat,8,Yerden Isıtma,Boş,,,,Kat Mülkiyeti,Hayır,Yok,2,Genel Fiyat,85.000TL,Antalya - Muratpaşa - Çağlayan Mahallesi,https://www.emlakjet.com/ilan/eski-lara-yolu-parselinde-yeni-nesil-binada-kiralik-31-daire-17878013,,,,Boş,,,,,,,,,
17878746,15 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,105 m²,125 m²,2+1,0 (Yeni),3.Kat,3,Yerden Isıtma,Boş,,,,Kat Mülkiyeti,Evet,Yok,2,Genel Fiyat,60.000TL,Antalya - Konyaaltı - Hurma Mahallesi,https://www.emlakjet.com/ilan/konyaalti-hurma-mah-21-sifir-esyali-luks-kiralik-daire-17878746,,,,Eşyalı,,,,,,,,,
17877380,14 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,90 m²,110 m²,2+1,0 (Yeni),Yüksek Giriş,5,Isıtma Yok,Boş,,,,Kat Mülkiyeti,Hayır,Yok,2,Genel Fiyat,21.000TL,Antalya - Döşemealtı - Yeniköy Mahallesi,https://www.emlakjet.com/ilan/yenikoyde-genis-sifir-21-kiralik-daire-17877380,,,,Boş,,,,,,,,,
17877470,14 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,50 m²,60 m²,1+1,0 (Yeni),4.Kat,5,Klimalı,Boş,,,,Kat İrtifakı,Evet,Yok,1,Genel Fiyat,13.500TL,Antalya - Alanya - Oba Mahallesi,https://www.emlakjet.com/ilan/alanya-oba-mahallesi-kiralik-manzarali-11-site-ici-sifir-daire-17877470,,,,Boş,,,,,,,,,
17878877,15 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,85 m²,95 m²,2+1,3,2.Kat,2,Klimalı,Boş,,,,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,30.000TL,Antalya - Manavgat - Hatipler Mahallesi,https://www.emlakjet.com/ilan/hatiplarda-21-full-esyali-kiralik-daire-17878877,,,,Eşyalı,,,,,,,,,
17878014,15 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,145 m²,150 m²,3+1,11-15,4.Kat,4,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Evet,Yok,2,Genel Fiyat,60.000TL,Antalya - Muratpaşa - Güzeloluk Mahallesi,https://www.emlakjet.com/ilan/caglayan-da-site-icerisinde-full-esyali-kiralik-dubleks-daire-17878014,,,,Eşyalı,,,,,,,,,
17877463,14 Ağustos 2025,15 Ağustos 2025,Konut,Kiralık,Daire,220 m²,320 m²,4+2,2,Villa Tipi,4,Klimalı,Boş,,Betonarme,0 TL,Kat Mülkiyeti,Hayır,,4,Birim Fiyat,19.000TL,Antalya - Alanya - Bektaş Mahallesi,https://www.emlakjet.com/ilan/alanyada-sehrin-icinde-sehirden-uzak-17877463,5000 TL,1872,7,Eşyalı,Var,4 +,4,Hayır,Açık Balkon,48 m²,42 m²,42 m²,36 m²
17881973,15 Ağustos 2025,23 Ağustos 2025,Konut,Kiralık,Daire,90 m²,100 m²,2+1,5-10,3.Kat,4,Klimalı,Boş,İkinci El,Betonarme,,Yabancıdan,Hayır,Yok,1,Genel Fiyat,28.000TL,Antalya - Konyaaltı - Hurma Mahallesi,https://www.emlakjet.com/ilan/guvensoy-dan-konyaalti-hurma-mah-kiralik-esyali-21-17881973,,,,Eşyalı,Var,1,1,Evet,Açık Balkon,,,,
17878875,15 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,120 m²,145 m²,2+1,16-20,Bahçe Katı,2,Klimalı,Boş,,,,Kat Mülkiyeti,Hayır,Yok,2,Genel Fiyat,30.000TL,Antalya - Manavgat - Çolaklı Mahallesi,https://www.emlakjet.com/ilan/villa-tadinda-mustakil-havuzlu-kiralik-daire-17878875,,,,Boş,,,,,,,,,
17877598,14 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,95 m²,110 m²,2+1,5-10,2.Kat,3,Klimalı,Boş,,,,Yabancıdan,Hayır,Yok,1,Genel Fiyat,28.500TL,Antalya - Manavgat - Side Mahallesi,https://www.emlakjet.com/ilan/side-de-kiralik-triplex-17877598,,,,Eşyalı,,,,,,,,,
17878743,15 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,60 m²,70 m²,1+1,0 (Yeni),4.Kat,6,Yerden Isıtma,Boş,,,,Kat İrtifakı,Evet,Yok,1,Genel Fiyat,35.000TL,Antalya - Aksu - Altıntaş Mahallesi,https://www.emlakjet.com/ilan/antalya-altintas-luks-lotus-suites-de-11-esyali-kiralik-daire-17878743,,,,Eşyalı,,,,,,,,,
17880766,15 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,50 m²,60 m²,1+1,5-10,3.Kat,4,Klimalı,Boş,,,,Kat İrtifakı,Evet,Yok,1,Genel Fiyat,32.000TL,Antalya - Konyaaltı - Liman Mahallesi,https://www.emlakjet.com/ilan/liman-mahallesi-nde-luks-site-icinde-11-esyali-kiralik-daire-17880766,,,,Eşyalı,,,,,,,,,
17878854,15 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,90 m²,95 m²,2+1,0 (Yeni),2.Kat,4,Klimalı,Boş,,,,Kat İrtifakı,Evet,Yok,2,Genel Fiyat,18.000TL,Antalya - Döşemealtı - Yeniköy Mahallesi,https://www.emlakjet.com/ilan/havuzlu-sitede-21-bu-fiyata-yok-her-katta-dairemiz-var-17878854,,,,Boş,,,,,,,,,
17880790,15 Ağustos 2025,18 Ağustos 2025,Konut,Kiralık,Daire,100 m²,120 m²,2+1,21 Ve Üzeri,2.Kat,4,Klimalı,Boş,,,,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,26.500TL,Antalya - Muratpaşa - Sinan Mahallesi,https://www.emlakjet.com/ilan/rabia-cite-den-sinan-mah-ici-yenilenmis-21-bos-daire-17880790,,,,Boş,,,,,,,,,
17879479,15 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,110 m²,120 m²,2+1,21 Ve Üzeri,4.Kat,4,Klimalı,Boş,,,,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,24.000TL,Antalya - Alanya - Güller Pınarı Mahallesi,https://www.emlakjet.com/ilan/alanya-gullerpinari-mahallesi-kiralik-21-bos-daire-17879479,,,,Boş,,,,,,,,,
17878174,15 Ağustos 2025,18 Ağustos 2025,Konut,Kiralık,Daire,70 m²,75 m²,1+1,4,1.Kat,4,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,37.000TL,Antalya - Konyaaltı - Hurma Mahallesi,https://www.emlakjet.com/ilan/point-invest-ten-ultra-lux-casa-grende-17878174,,,,Eşyalı,,,,,,,,,
17878172,15 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,140 m²,150 m²,3+1,4,2.Kat,3,Yerden Isıtma,Boş,,,,Kat Mülkiyeti,Evet,Yok,2,Genel Fiyat,75.000TL,Antalya - Muratpaşa - Güzeloba Mahallesi,https://www.emlakjet.com/ilan/point-invest-ten-31-glory-life-residence-full-esyali-17878172,,,,Eşyalı,,,,,,,,,
17881507,15 Ağustos 2025,15 Ağustos 2025,Konut,Kiralık,Daire,45 m²,50 m²,1+1,1,3.Kat,5,Klimalı,Boş,,,,Yabancıdan,Hayır,,1,Genel Fiyat,21.600TL,Antalya - Alanya - Oba Mahallesi,https://www.emlakjet.com/ilan/alanya-oba-aktiviteli-sitede-esyali-kiralik-daire-ru-uk-17881507,,,,,,,,,,,,,
17876491,14 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,42 m²,55 m²,1+1,0 (Yeni),1.Kat,2,Klimalı,Boş,,,,Kat İrtifakı,Evet,Yok,1,Genel Fiyat,30.000TL,Antalya - Manavgat - Ilıca Mahallesi,https://www.emlakjet.com/ilan/kumkoy-de-site-icerisinde-kiralik-daire-17876491,,,,Boş,,,,,,,,,
17874611,14 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,100 m²,110 m²,2+1,21 Ve Üzeri,2.Kat,2,Klimalı,Boş,,,,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,12.000TL,Antalya - Finike - Sahilkent Mahallesi,https://www.emlakjet.com/ilan/sahilkent-hal-cikisinda-kiralik-genis-21-daire-17874611,,,,Boş,,,,,,,,,
17876874,14 Ağustos 2025,14 Ağustos 2025,Konut,Kiralık,Daire,150 m²,170 m²,3+1,5-10,2.Kat,5,Isıtma Yok,Boş,,,,Tapu Kaydı Yok,Hayır,,1,Genel Fiyat,20.000TL,Antalya - Serik - Gedik Mahallesi,https://www.emlakjet.com/ilan/antalya-serik-gedik-mahallesi-31-site-icerisinde-daire-17876874,,,,,,,,,,,,,
17875204,14 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,37 m²,43 m²,1+1,0 (Yeni),Bodrum Kat,6,Klimalı,Boş,,,,Kat İrtifakı,Evet,Yok,1,Genel Fiyat,10.500TL,Antalya - Kepez - Aydoğmuş Mahallesi,https://www.emlakjet.com/ilan/penceresiz-otel-konsepti-havuzlu-kiralik-11-daire-aciklama-17875204,,,,Boş,,,,,,,,,
17875498,14 Ağustos 2025,15 Ağustos 2025,Konut,Kiralık,Daire,145 m²,155 m²,3+1,1,5.Kat,5,Klimalı,Boş,,,,Yabancıdan,Hayır,,2,Genel Fiyat,30.000TL,Antalya - Alanya - Mahmutlar Mahallesi,https://www.emlakjet.com/ilan/mahmutlarda-kiralik-deniz-manzarali-31-dubleks-daire-17875498,30000 TL,,,,,,,,,,,,
17872720,14 Ağustos 2025,14 Ağustos 2025,Konut,Kiralık,Daire,95 m²,100 m²,2+1,5-10,1.Kat,3,Klimalı,Boş,,,,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,12.000TL,Antalya - Gazipaşa - Pazarcı Mahallesi,https://www.emlakjet.com/ilan/pazarci-mahallesi-universiteye-yakin-21-esyali-daire-17872720,,,,Eşyalı,,,,,,,,,
17872710,14 Ağustos 2025,14 Ağustos 2025,Konut,Kiralık,Daire,50 m²,55 m²,1+1,1,3.Kat,6,Klimalı,Boş,,,,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,10.000TL,Antalya - Gazipaşa - Pazarcı Mahallesi,https://www.emlakjet.com/ilan/pazarci-mahallesi-ful-aktiviteli-sitede-kiralik-11-daire-17872710,,,,Boş,,,,,,,,,
17872725,14 Ağustos 2025,14 Ağustos 2025,Konut,Kiralık,Daire,85 m²,90 m²,2+1,0 (Yeni),3.Kat,5,Klimalı,Boş,,,,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,14.000TL,Antalya - Gazipaşa - Cumhuriyet Mahallesi,https://www.emlakjet.com/ilan/cumhuriyet-mahallesi-kiralik-havuzlu-21-daire-17872725,,,,Boş,,,,,,,,,
17873442,14 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,50 m²,55 m²,1+1,0 (Yeni),2.Kat,3,Isıtma Yok,Boş,,,,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,16.000TL,Antalya - Kepez - Esentepe Mahallesi,https://www.emlakjet.com/ilan/sehir-has-yakini-katta-sifir-daire-17873442,,,,,,,,,,,,,
17874610,14 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,64 m²,84 m²,2+1,0 (Yeni),5.Kat,6,Klimalı,Boş,,,,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,25.000TL,Antalya - Finike - Hasyurt Mahallesi,https://www.emlakjet.com/ilan/finike-sahilde-deniz-manzarali-kiralik-luks-21-daire-17874610,,,,Boş,,,,,,,,,
17874751,14 Ağustos 2025,23 Ağustos 2025,Konut,Kiralık,Daire,110 m²,130 m²,2+1,21 Ve Üzeri,4.Kat,4,Klimalı,Boş,,,325 TL,Kat İrtifakı,Hayır,,1,Genel Fiyat,14.000TL,Antalya - Alanya - Güller Pınarı Mahallesi,https://www.emlakjet.com/ilan/alanya-merkezde-asansorlu-21-ayri-mutfak-130-m2-aciklamayi-okuyunuz-17874751,14000 TL,230,116,,,,,,,,,,
17872246,14 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,45 m²,50 m²,1+1,0 (Yeni),2.Kat,8,Klimalı,Boş,,,1 TL,Kat İrtifakı,Hayır,,1,Genel Fiyat,10.000TL,Antalya - Alanya - Avsallar Mahallesi,https://www.emlakjet.com/ilan/avsallar-merkezde-havuzlu-sitede-11-kiralik-daire-17872246,10000 TL,416,1,,,,,,,,,,
17875903,14 Ağustos 2025,18 Ağustos 2025,Konut,Kiralık,Daire,145 m²,155 m²,3+1,11-15,2.Kat,5,Klimalı,Boş,,,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,23.000TL,Antalya - Alanya - Kadıpaşa Mahallesi,https://www.emlakjet.com/ilan/alanya-merkezde-kiralik-31-17875903,,439,221,,,,,,,,,,
17874670,14 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,120 m²,140 m²,3+1,21 Ve Üzeri,3.Kat,6,Klimalı,Boş,,,,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,36.000TL,Antalya - Muratpaşa - Üçgen Mahallesi,https://www.emlakjet.com/ilan/sarampol-cd-31-temiz-esyali-asansorlu-kiralik-daire-17874670,,,,Eşyalı,,,,,,,,,
17873413,14 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,90 m²,105 m²,3+1,5-10,Düz Giriş (Zemin),3,Klimalı,Boş,,,,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,17.000TL,Antalya - Kepez - Santral Mahallesi,https://www.emlakjet.com/ilan/unsal-mh-de-31-ayri-mutfak-105m2-guney-cepheli-kiralik-daire-17873413,,,,Boş,,,,,,,,,
17872279,14 Ağustos 2025,14 Ağustos 2025,Konut,Kiralık,Daire,85 m²,90 m²,2+1,11-15,Yüksek Giriş,2,Kombi Doğalgaz,Boş,İkinci El,Betonarme,0 TL,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,25.000TL,Antalya - Kepez - Ahatlı Mahallesi,https://www.emlakjet.com/ilan/antalya-kepez-ahatlida-kiralik-21-esyali-dogalgazli-3-klimali-yuksek-giris-daire-no-20500-17872279,25000 TL,8629,4,Eşyalı,Var,1,2,Hayır,Açık Balkon,,,,
17874178,14 Ağustos 2025,14 Ağustos 2025,Konut,Kiralık,Daire,90 m²,100 m²,2+1,21 Ve Üzeri,Bahçe Katı,4,Kombi Doğalgaz,Kiracı Oturuyor,İkinci El,Betonarme,150 TL,Kat İrtifakı,Hayır,,1,Genel Fiyat,40.000TL,Antalya - Konyaaltı - Toros Mahallesi,https://www.emlakjet.com/ilan/bahce-kullanimli-dogalgazli-ve-esyali-21-toros-konyaalti-17874178,40000 TL,3518,10,Eşyalı,Var,,1,Evet,,,,,
17875202,14 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,140 m²,165 m²,3+1,1,6.Kat,6,Klimalı,Boş,,,,Kat İrtifakı,Evet,Yok,2,Genel Fiyat,38.000TL,Antalya - Kepez - Fevzi Çakmak Mahallesi,https://www.emlakjet.com/ilan/luks-sitede-ferah-kiralik-31-daire-17875202,,,,Boş,,,,,,,,,
17874079,14 Ağustos 2025,18 Ağustos 2025,Konut,Kiralık,Daire,120 m²,136 m²,3+1,0 (Yeni),2.Kat,3,Yerden Isıtma,Boş,,,,Kat Mülkiyeti,Evet,Yok,2,Genel Fiyat,50.000TL,Antalya - Manavgat - Sorgun Mahallesi,https://www.emlakjet.com/ilan/sorgunda-luks-site-icinde-kiralik-dairer-ve-dubleksler-17874079,,,,Boş,,,,,,,,,
17873842,14 Ağustos 2025,16 Ağustos 2025,Konut,Kiralık,Daire,110 m²,130 m²,3+1,5-10,4.Kat,4,Klimalı,Boş,,,,Yabancıdan,Hayır,,2,Genel Fiyat,47.000TL,Antalya - Konyaaltı - Liman Mahallesi,https://www.emlakjet.com/ilan/konyaalti-liman-mahallesinde-esyali-kiralik-3-1-dubleks-daire-17873842,,,,,,,,,,,,,
17872718,14 Ağustos 2025,14 Ağustos 2025,Konut,Kiralık,Daire,140 m²,150 m²,3+1,4,4.Kat,4,Klimalı,Boş,,,,Kat Mülkiyeti,Hayır,Yok,2,Genel Fiyat,15.500TL,Antalya - Gazipaşa - Cumhuriyet Mahallesi,https://www.emlakjet.com/ilan/avm-karsisi-esyali-31-kiralik-ayri-mutfak-dubleks-daire-17872718,,,,Eşyalı,,,,,,,,,
17876493,14 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,105 m²,150 m²,2+1,11-15,2.Kat,2,Klimalı,Boş,,,,Kat İrtifakı,Hayır,Yok,3,Genel Fiyat,32.000TL,Antalya - Manavgat - Evrenseki Mahallesi,https://www.emlakjet.com/ilan/evrenseki-de-deniz-tarafinda-21-esyali-kiralik-daire-17876493,,,,Eşyalı,,,,,,,,,
17873726,14 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,130 m²,140 m²,3+1,11-15,1.Kat,2,Sobalı,Boş,,,,Tapu Kaydı Yok,Hayır,Yok,1,Genel Fiyat,17.000TL,Antalya - Manavgat - Evrenseki Mahallesi,https://www.emlakjet.com/ilan/kaya-emlaktan-evrenseki-de-31-kiralik-daire-17873726,,,,Boş,,,,,,,,,
17874803,14 Ağustos 2025,14 Ağustos 2025,Konut,Kiralık,Daire,60 m²,70 m²,1+1,3,4.Kat,11,Merkezi (Pay Ölçer),Boş,İkinci El,Betonarme,2000 TL,Kat İrtifakı,Hayır,,1,Genel Fiyat,20.000TL,Antalya - Kepez - Kepez Mahallesi,https://www.emlakjet.com/ilan/a-k-mutludan-suryapida-park-cepheli-genis-11-lux-daire-17874803,20000 TL,28874,4,Boş,Var,1,1,Hayır,Açık Balkon,,,,
17876887,14 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,55 m²,65 m²,1+1,21 Ve Üzeri,1.Kat,3,Klimalı,Boş,,,,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,30.000TL,Antalya - Manavgat - Aşağı Pazarcı Mahallesi,https://www.emlakjet.com/ilan/vizyondan-carsi-merkezinde-full-esyali-kiralik-daire-17876887,,,,Eşyalı,,,,,,,,,
17874561,14 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,130 m²,145 m²,3+1,21 Ve Üzeri,2.Kat,7,Isıtma Yok,Boş,,,200 TL,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,30.000TL,Antalya - Muratpaşa - Altındağ Mahallesi,https://www.emlakjet.com/ilan/100-yil-cadde-uzeri-ofis-yada-daire-17874561,30000 TL,2818,1,,,,,,,,,,
17874362,14 Ağustos 2025,14 Ağustos 2025,Konut,Kiralık,Daire,50 m²,55 m²,1+1,5-10,3.Kat,4,Klimalı,Boş,İkinci El,,850 TL,Kat İrtifakı,Evet,,1,Genel Fiyat,27.000TL,Antalya - Konyaaltı - Liman Mahallesi,https://www.emlakjet.com/ilan/konyaalti-limanda-havuzlu-esyali-ara-kat-daire-17874362,27000 TL,8999,1,Eşyalı,Var,1,1,,Açık Balkon,,,,
17875493,14 Ağustos 2025,15 Ağustos 2025,Konut,Kiralık,Daire,60 m²,70 m²,2+1,5-10,4.Kat,5,Klimalı,Boş,,,,Kat İrtifakı,Hayır,,1,Genel Fiyat,25.000TL,Antalya - Alanya - Kestel Mahallesi,https://www.emlakjet.com/ilan/alanya-kestelde-kiralik-deniz-manzarali-11-esyali-daire-17875493,25000 TL,1004,1,,,,,,,,,,
17876475,14 Ağustos 2025,14 Ağustos 2025,Konut,Kiralık,Daire,50 m²,60 m²,2+1,11-15,2.Kat,3,Klimalı,Boş,İkinci El,Betonarme,200 TL,Kat İrtifakı,Hayır,,1,Genel Fiyat,20.000TL,Antalya - Kepez - Kültür Mahallesi,https://www.emlakjet.com/ilan/a-k-mutludan-kulturde-21-esyali-ara-kat-daire-17876475,20000 TL,10169,7,Eşyalı,Yok,,1,Hayır,,,,,
17872911,14 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,40 m²,47 m²,1+1,1,Düz Giriş (Zemin),11,Merkezi (Pay Ölçer),Boş,,,,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,16.000TL,Antalya - Kepez - Kepez Mahallesi,https://www.emlakjet.com/ilan/suryapi-11-47-m2-guzel-konum-kiralik-astor-emlak-17872911,,,,Boş,,,,,,,,,
17869974,14 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,55 m²,60 m²,1+1,5-10,Yüksek Giriş,4,Isıtma Yok,Boş,,,,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,18.000TL,Antalya - Kepez - Fabrikalar Mahallesi,https://www.emlakjet.com/ilan/fabrikalar-da-erasta-avm-arkasinda-11-esyasiz-daire-17869974,,,,Boş,,,,,,,,,
17869925,14 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,65 m²,70 m²,2+1,5-10,Yüksek Giriş,3,Klimalı,Boş,,,,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,16.000TL,Antalya - Kepez - Çamlıbel Mahallesi,https://www.emlakjet.com/ilan/camlibel-de-21-esyasiz-yuksek-giris-kiralik-daire-17869925,,,,Boş,,,,,,,,,
17869973,14 Ağustos 2025,18 Ağustos 2025,Konut,Kiralık,Daire,80 m²,85 m²,2+1,5-10,Yüksek Giriş,3,Klimalı,Boş,,,,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,22.500TL,Antalya - Kepez - Kültür Mahallesi,https://www.emlakjet.com/ilan/kultur-de-esyali-21-kiralik-daire-17869973,,,,Eşyalı,,,,,,,,,
17870608,14 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,180 m²,200 m²,4+1,5-10,3.Kat,3,Klimalı,Boş,,,,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,30.000TL,Antalya - Manavgat - Kavaklı Mahallesi,https://www.emlakjet.com/ilan/kavakli-mah-kiralik-41-dubleksimiz-merkezi-konumda-17870608,,,,Boş,,,,,,,,,
17869929,14 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,45 m²,50 m²,1+1,0 (Yeni),2.Kat,3,Klimalı,Boş,,,,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,25.000TL,Antalya - Kepez - Yeşilyurt Mahallesi,https://www.emlakjet.com/ilan/yesilyurt-uni-dibi-arakat-11-balkonlu-sifir-esya-kiralik-daire-17869929,,,,Eşyalı,,,,,,,,,
17869927,14 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,75 m²,80 m²,2+1,11-15,Yüksek Giriş,3,Klimalı,Boş,,,,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,18.000TL,Antalya - Kepez - Kültür Mahallesi,https://www.emlakjet.com/ilan/ulusoy-caddesinde-21-esyasiz-kiralik-daire-17869927,,,,Boş,,,,,,,,,
17869979,14 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,45 m²,50 m²,1+1,0 (Yeni),2.Kat,3,Klimalı,Boş,,,,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,24.500TL,Antalya - Kepez - Şafak Mahallesi,https://www.emlakjet.com/ilan/safak-mah-univ-dibi-11-luks-esyali-sifir-kiralik-daire-17869979,,,,Eşyalı,,,,,,,,,
17871099,14 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,180 m²,220 m²,3+1,11-15,3.Kat,3,Klimalı,Boş,İkinci El,,,Kat Mülkiyeti,Hayır,Yok,2,Genel Fiyat,32.000TL,Antalya - Alanya - Sugözü Mahallesi,https://www.emlakjet.com/ilan/alanya-sugozu-nde-manzarali-kiralik-31-esyali-dubleks-daire-17871099,,,,Eşyalı,,,2,,,,,,
17872215,14 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,160 m²,165 m²,3+2,16-20,4.Kat,4,Klimalı,Boş,İkinci El,Betonarme,,Yabancıdan,Hayır,Yok,2,Genel Fiyat,42.000TL,Antalya - Konyaaltı - Altınkum Mahallesi,https://www.emlakjet.com/ilan/deniz-manzarali-mukemmel-lokasyon-32-cok-genis-ayri-mutfakli-esyali-kiralik-daire-17872215,42000 TL,,,Eşyalı,Var,2,Yok,Hayır,Açık Balkon,45 m²,,,
17869963,14 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,45 m²,50 m²,1+1,5-10,1.Kat,4,Kombi Doğalgaz,Boş,,,,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,27.000TL,Antalya - Kepez - Kültür Mahallesi,https://www.emlakjet.com/ilan/kultur-mah-akdeniz-univ-karsisinda-luks-esyali-11-kiralik-17869963,,,,Eşyalı,,,,,,,,,
17869924,14 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,80 m²,90 m²,2+1,0 (Yeni),6.Kat,11,Merkezi (Pay Ölçer),Boş,,,,Kat İrtifakı,Evet,Yok,1,Genel Fiyat,35.000TL,Antalya - Kepez - Kepez Mahallesi,https://www.emlakjet.com/ilan/suryapi-da-21-esyali-17869924,,,,Eşyalı,,,,,,,,,
17869950,14 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,135 m²,145 m²,3+1,5-10,2.Kat,5,Kombi Doğalgaz,Boş,,,,Kat İrtifakı,Evet,Yok,2,Genel Fiyat,38.000TL,Antalya - Kepez - Şafak Mahallesi,https://www.emlakjet.com/ilan/safak-ta-site-icerisinde-lux-esyali-d-gazli-31-dairemiz-17869950,,,,Eşyalı,,,,,,,,,
17869955,14 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,125 m²,130 m²,3+1,11-15,5.Kat,5,Klimalı,Boş,,,,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,25.500TL,Antalya - Muratpaşa - Soğuksu Mahallesi,https://www.emlakjet.com/ilan/soguksu-mah-toroslar-cad-uzeri-31-esyali-kiralik-daire-17869955,,,,Eşyalı,,,,,,,,,
17871583,14 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,140 m²,150 m²,3+1,5-10,3.Kat,4,Kombi Doğalgaz,Boş,,,,Kat İrtifakı,Hayır,Yok,2,Genel Fiyat,45.000TL,Antalya - Konyaaltı - Toros Mahallesi,https://www.emlakjet.com/ilan/konyaalti-toros-mah-uni-yurume-mesafesi-31-esyali-dogalgazli-17871583,,,,Eşyalı,,,,,,,,,
